C	Cn	meanCProb
1	1	0
2	157	0.493661191299196
3	2	0.777624040493937
4	64	0.556038132530744
5	132	0.474600146765063
6	1	0
7	289	0.618348726449266
8	1	0
9	1	0
10	21	0.424832437137144
11	334	0.57587219711229
12	2	0.638874758368094
13	1	0
14	3	0.603191880466234
15	70	0.455454882849623
16	180	0.512618545079165
17	3	0.213509607673095
18	37	0.507682843712955
19	222	0.662731466319542
20	69	0.492611980044914
21	21	0.409664285855235
22	18	0.31182389534944
23	2	0.598576562978682
24	72	0.36675331294956
25	137	0.57674346446564
26	30	0.310695679475364
27	453	0.603764249488841
28	37	0.4651330189769
29	2	0.114745952277972
30	1	0
31	1	0
32	1	0
33	5	0.579917920884666
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	2	0.628855321472018
40	1	0
41	25	0.409787380107064
42	69	0.482574919430823
43	287	0.565863024566698
44	3	0.754964194129131
45	7	0.442475347018274
46	1	0
47	1	0
48	27	0.374156197107075
49	314	0.611169465492826
50	25	0.31950472307649
51	1	0
52	47	0.460007533743419
53	99	0.606629626597748
54	17	0.369430168770196
55	203	0.559770494185592
56	45	0.439781324638485
57	69	0.379850867844312
58	2	0.31754586144688
59	50	0.424441187973669
60	1	0
61	2	0.221256034137243
62	70	0.442290173639031
63	1	0
64	3	0.462485560574831
65	24	0.401499899181291
66	1	0
67	199	0.471329717487526
68	78	0.492438582868398
69	1	0
70	1	0
71	1	0
72	40	0.528801391923811
73	2	0.203714480187992
74	62	0.435988529186324
75	2	0.14976781873006
76	1	0
77	13	0.397302315279101
78	2	0.374007869661392
79	1	0
80	2	0.631835677087418
81	1	0
82	1	0
83	1	0
84	1	0
85	75	0.56151292847762
86	1	0
87	2	0.197713580217389
88	241	0.575362008227496
89	81	0.418221993349383
90	1	0
91	1	0
92	75	0.448114074946868
93	130	0.471025051960416
94	29	0.466370304187767
