Disease	N	mean_ds	SD_ds
AD	508	1.21259842519685	0.419070470597612
BD	297	1.56228956228956	0.548639727877549
AUT	209	1.55980861244019	0.52578874973562
SCH	694	1.26801152737752	0.474683544479262
ASD	212	1.55660377358491	0.525739175944815
Epi	288	1.44791666666667	0.538480084491273
ID	240	1.63333333333333	0.547849860832279
HTN	298	1.37248322147651	0.517876922107502
HD	84	1.42857142857143	0.544096781914303
PD	222	1.42342342342342	0.530509011093662
FTD	121	1.48760330578512	0.620694536780356
MS	199	1.55778894472362	0.59918053103055
