AD	BD	AUT	SCH	ASD	Epi	ID	HTN	HD	PD	FTD	MS
AD	0	-0.175021633494759	-0.128183993016568	-0.321835758317136	-0.133212210501989	-0.23352387759005	-0.0686878043987817	-0.265245537976879	0.0476583163591038	-0.235819143488219	0.0250978626489173	-0.204147008864053
BD	.	0	-0.456306004360924	-0.542294843521736	-0.45532093119853	-0.137581746956747	-0.10432913868668	-0.0774704254964815	0.0898713418398456	-0.117133949503891	0.030077489407633	-0.162861834151751
AUT	.	.	0	-0.295416160717273	-1.54632970845198	-0.179918977581598	-0.302584335915715	-0.103226784808449	-0.0402651058300421	-0.143588175704429	0.0732637378570393	-0.134779170738767
SCH	.	.	.	0	-0.298621116264878	-0.18382967747016	-0.099494700162708	-0.123674793781855	0.181271504030666	-0.0673331959244898	0.112990129430947	-0.108308970653033
ASD	.	.	.	.	0	-0.188260220125786	-0.307357933990093	-0.103759183805218	-0.0500200335105996	-0.15130392108481	0.0664850489035738	-0.138704874969347
Epi	.	.	.	.	.	0	-0.175094696969697	-0.169585609600599	0.0402505760368663	-0.123905339162692	0.0628023609623689	-0.19689798023313
ID	.	.	.	.	.	.	0	-0.00662574952388084	0.0523809523809524	-0.0413653913653913	-0.0286123638805582	-0.0260850570239199
HTN	.	.	.	.	.	.	.	0	0.0130852404210569	-0.155645630142274	0.0687634189467485	-0.282037491550768
HD	.	.	.	.	.	.	.	.	0	-0.151487622075857	-0.0336971232758372	-0.100954038237629
PD	.	.	.	.	.	.	.	.	.	0	-0.0211110322427577	-0.234074117565207
FTD	.	.	.	.	.	.	.	.	.	.	0	-0.0851961252543711
MS	.	.	.	.	.	.	.	.	.	.	.	0
