Gene.ID	Gene.Name	AD	BD	AUT	SCH	ASD	Epi	ID	HTN	HD	PD	FTD	MS
273	AMPH	.	.	.	.	.	.	.	.	.	.	1	.
6455	SH3GL1	.	.	.	.	.	.	.	.	.	.	1	.
1759	DNM1	.	.	.	1	.	1	.	.	.	.	.	.
1785	DNM2	1	.	.	.	.	.	.	.	.	.	1	.
1821	DRP2	.	.	2	.	2	.	.	.	.	.	.	.
1756	DMD	.	2	.	1	.	.	2	.	.	.	.	.
369	ARAF	.	.	.	.	.	1	.	.	.	.	.	.
2923	PDIA3	1	.	.	.	.	.	.	.	.	.	.	.
3836	KPNA1	.	.	.	2	.	.	.	.	2	.	.	.
7534	YWHAZ	1	.	1	1	1	.	.	.	.	1	.	.
7531	YWHAE	.	1	.	1	.	.	.	.	.	.	.	.
58513	EPS15L1	.	.	.	.	.	.	.	.	.	.	.	2
2316	FLNA	.	.	.	.	.	.	1	.	.	.	.	.
2887	GRB10	.	.	.	1	.	.	.	.	.	.	.	.
29979	UBQLN1	1	.	.	.	.	.	.	.	1	.	.	.
5663	PSEN1	1	.	.	.	.	.	.	.	.	.	1	.
10014	HDAC5	1	.	.	.	.	.	.	.	.	.	.	.
8470	SORBS2	1	.	.	.	.	.	.	.	.	.	.	.
2885	GRB2	.	.	.	1	.	.	.	.	.	.	.	.
6456	SH3GL2	.	.	.	1	.	.	.	.	.	1	.	1
10133	OPTN	1	.	.	.	.	.	.	.	.	.	.	.
22895	RPH3A	.	.	.	.	.	.	.	.	2	.	.	.
6548	SLC9A1	.	.	.	.	.	.	.	1	.	.	.	.
3688	ITGB1	1	1	.	.	.	.	.	.	.	.	.	.
4842	NOS1	1	1	.	1	.	1	.	2	.	1	.	2
1981	EIF4G1	.	.	.	.	.	.	.	.	.	1	.	.
3303	HSPA1A	.	.	.	1	.	.	.	1	.	.	1	1
23163	GGA3	1	.	.	.	.	.	.	.	.	.	.	.
6616	SNAP25	1	.	1	1	1	1	2	.	1	.	1	.
351	APP	1	.	1	.	1	1	.	1	.	1	1	1
9863	MAGI2	.	1	.	1	.	1	.	.	.	.	.	.
4734	NEDD4	.	.	.	1	.	.	.	.	.	1	.	.
1387	CREBBP	.	.	.	1	.	.	.	.	.	.	.	.
5195	PEX14	.	.	.	.	.	.	.	1	.	.	.	.
2475	MTOR	1	.	1	1	1	1	.	1	1	.	.	.
207	AKT1	1	1	1	1	1	.	.	1	1	1	.	1
6198	RPS6KB1	1	.	.	.	.	.	.	.	.	.	.	1
3667	IRS1	1	.	.	.	.	1	.	1	.	.	.	.
3798	KIF5A	.	.	.	.	.	1	.	.	.	.	.	2
3799	KIF5B	.	1	.	.	.	.	.	.	.	.	.	.
3800	KIF5C	2	1	1	1	1	.	1	.	.	.	.	.
3064	HTT	.	.	.	.	.	.	.	.	1	.	.	.
3146	HMGB1	1	.	1	.	1	.	1	1	.	.	.	1
1956	EGFR	1	1	.	1	.	1	.	1	1	.	.	.
3320	HSP90AA1	1	.	.	1	.	.	2	1	.	.	1	.
5310	PKD1	.	.	2	.	2	.	.	.	.	.	.	.
1674	DES	.	.	.	1	.	.	.	.	.	.	.	.
7249	TSC2	1	.	1	.	1	1	.	1	.	1	.	.
322	APBB1	1	.	.	.	.	.	.	.	.	.	.	.
10971	YWHAQ	.	.	.	.	.	.	.	1	.	.	.	.
53616	ADAM22	.	.	.	.	.	1	.	.	.	.	.	.
6427	SRSF2	.	.	.	.	.	.	1	.	.	.	.	.
2561	GABRB2	.	1	.	1	.	1	.	.	.	.	.	.
5048	PAFAH1B1	.	.	.	1	.	.	.	.	.	.	.	.
7529	YWHAB	.	.	.	1	.	.	.	.	.	.	.	.
7532	YWHAG	1	.	.	1	.	1	.	.	.	.	.	1
7533	YWHAH	.	1	.	1	.	1	.	.	.	1	.	.
6810	STX4	.	.	.	.	.	1	.	.	.	.	.	.
1432	MAPK14	1	.	.	1	.	.	.	1	1	.	.	1
672	BRCA1	1	.	.	.	.	.	.	.	.	.	.	1
3984	LIMK1	.	.	.	.	.	.	.	1	.	.	.	.
1072	CFL1	.	.	.	1	.	.	.	.	.	.	.	.
5894	RAF1	1	.	.	.	.	.	.	.	.	.	.	.
2891	GRIA2	1	.	1	1	1	1	.	.	.	.	.	1
2892	GRIA3	1	.	.	1	.	1	2	.	.	.	.	1
40	ASIC2	.	2	.	.	.	.	.	.	.	2	.	.
3028	HSD17B10	1	.	.	1	.	.	2	.	.	.	.	1
1859	DYRK1A	1	.	.	.	2	1	2	.	.	.	.	.
1742	DLG4	1	.	.	1	.	.	.	.	.	1	.	.
2066	ERBB4	1	1	.	1	.	.	.	1	.	1	.	.
1740	DLG2	.	.	.	.	.	1	.	.	.	1	.	.
1741	DLG3	.	.	.	1	.	.	1	.	.	.	.	.
9228	DLGAP2	.	.	.	1	.	.	.	.	.	.	.	.
215	ABCD1	.	.	.	.	.	.	3	.	.	.	.	.
55824	PAG1	.	.	.	1	.	.	.	.	.	.	.	.
2512	FTL	.	.	.	1	.	.	.	.	.	.	.	.
2495	FTH1	.	.	1	.	1	.	.	.	.	.	.	.
