AD	BD	AUT	SCH	ASD	Epi	ID	HTN	HD	PD	FTD	MS
AD	0	-0.203593395847042	-0.139400862326116	-0.342069329194911	-0.138557637249957	-0.255967061515081	-0.0501610080199082	-0.261477919409256	0.0878889094355324	-0.278092338588357	0.013144123628833	-0.181344212106902
BD	.	0	-0.495535159010673	-0.473249846602018	-0.490668361748989	-0.201646710885232	-0.11596083074862	-0.084570693366038	0.0626837917315344	-0.147928820213932	-0.0344047156646958	-0.14657196704465
AUT	.	.	0	-0.239346927280657	-1.52770354020594	-0.182378470106098	-0.274807431438952	-0.11297827707564	0.00335315800885927	-0.144732838245079	0.0986928104575164	-0.08268080924883
SCH	.	.	.	0	-0.237497003085083	-0.259837157198922	-0.082359565350179	-0.0934759986737965	0.222686009676758	-0.101865986056484	0.097858870363386	-0.0590873635677276
ASD	.	.	.	.	0	-0.175577717496979	-0.270793390707189	-0.109045348157096	-0.00355305072286205	-0.147125278512038	0.101289947797301	-0.0757461340483727
Epi	.	.	.	.	.	0	-0.160718959531343	-0.183720724342225	0.045991289412342	-0.163202741751673	0.0394713387747443	-0.223841355884144
ID	.	.	.	.	.	.	0	-0.0213164087804321	0.0423658812277192	-0.090572068041253	-0.0545030851204069	0.0151526801564332
HTN	.	.	.	.	.	.	.	0	0.00358264923482299	-0.168274246237657	0.0201959260782789	-0.311536658535706
HD	.	.	.	.	.	.	.	.	0	-0.144397870924817	-0.0638480392156864	-0.0870646766169154
PD	.	.	.	.	.	.	.	.	.	0	-0.0891200324040309	-0.230137335286288
FTD	.	.	.	.	.	.	.	.	.	.	0	-0.100524297753506
MS	.	.	.	.	.	.	.	.	.	.	.	0
