Disease	N	mean_ds	SD_ds
AD	259	1.26254826254826	0.4907940021095
BD	127	1.66141732283465	0.566533211749318
AUT	95	1.62105263157895	0.621921308705309
SCH	366	1.26229508196721	0.476343585364821
ASD	97	1.60824742268041	0.621770004217259
Epi	138	1.60869565217391	0.597253844584921
ID	103	1.71844660194175	0.600938412037265
HTN	132	1.50757575757576	0.647911643693623
HD	43	1.53488372093023	0.549841414769158
PD	108	1.51851851851852	0.633658439812371
FTD	81	1.59259259259259	0.666666666666667
MS	96	1.48958333333333	0.580286529345935
