HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	p.adjusted	q-value
DOID:10652	Alzheimer's_disease	AD	508	DOID:10652	Alzheimer's_disease	AD	508	0	.	.	0	1	larger	.	1	1
DOID:10652	Alzheimer's_disease	AD	508	DOID:3312	Bipolar_disorder	BD	297	-0.175021633494759	.	YES	-2.14657986055221	0.0318267446654239	Smaller	.	0.422906146874576	0.0856029684104505
DOID:10652	Alzheimer's_disease	AD	508	DOID:12849	Autistic_disorder	AUT	209	-0.128183993016568	.	YES	-2.20975189584691	0.0271223859083147	Smaller	.	0.401979882176505	0.0813671577249441
DOID:10652	Alzheimer's_disease	AD	508	DOID:5419	Schizophrenia	SCH	694	-0.321835758317136	.	YES	-5.57691236319136	2.44825128011624e-08	Smaller	***	1.34774498903955e-06	2.72805142641524e-07
DOID:10652	Alzheimer's_disease	AD	508	DOID:0060041	Autism_Spectrum_Disorder	ASD	212	-0.133212210501989	.	YES	-2.27043505680834	0.0231811994733981	Smaller	.	0.37219834518138	0.0753388982885438
DOID:10652	Alzheimer's_disease	AD	508	DOID:1826	Epilepsy_syndrome	Epi	288	-0.23352387759005	.	YES	-4.01895001195233	5.84580705548237e-05	Smaller	**	0.00160903768945326	0.000325694964519732
DOID:10652	Alzheimer's_disease	AD	508	DOID:1059	Intellectual_Disability	ID	240	-0.0686878043987817	.	YES	0.141165043032161	0.887739561106232	larger	.	1	1
DOID:10652	Alzheimer's_disease	AD	508	DOID:10763	Hypertension	HTN	298	-0.265245537976879	.	YES	-4.88658714016121	1.02598928147749e-06	Smaller	***	3.29466568956431e-05	6.66893032960369e-06
DOID:10652	Alzheimer's_disease	AD	508	DOID:12858	Huntington's_disease	HD	84	0.0476583163591038	YES	.	-1.43447430061801	0.151436957795815	Smaller	.	1	0.30287391559163
DOID:10652	Alzheimer's_disease	AD	508	DOID:14330	Parkinson's_disease	PD	222	-0.235819143488219	.	YES	-5.05578031667628	4.28634520977064e-07	Smaller	***	1.50156534074894e-05	3.03940842147373e-06
DOID:10652	Alzheimer's_disease	AD	508	DOID:9255	Frontotemporal_dementia	FTD	121	0.0250978626489173	YES	.	-0.480082650154024	0.63116862456177	Smaller	.	1	0.834426317217255
DOID:10652	Alzheimer's_disease	AD	508	DOID:2377	Multiple_Sclerosis	MS	199	-0.204147008864053	.	YES	-4.56093864000726	5.09254620607004e-06	Smaller	***	0.000150952879353205	3.05552772364202e-05
DOID:3312	Bipolar_disorder	BD	297	DOID:3312	Bipolar_disorder	BD	297	0	.	.	0	1	larger	.	1	1
DOID:3312	Bipolar_disorder	BD	297	DOID:12849	Autistic_disorder	AUT	209	-0.456306004360924	.	YES	-9.60060748147263	7.94746191549923e-22	Smaller	***	1.02083834850233e-19	2.0663400980298e-20
