HDO.ID	Disease.long	Disease	N	mean_ds	SD_ds	Ran_mean_ds	Ran_SD_ds	Utest.pvalue
DOID:10652	Alzheimer's_disease	AD	388	1.23453608247423	0.447956071624823	0.180596835598108	0.0445120543351337	1.96555171376547e-136
DOID:3312	Bipolar_disorder	BD	188	1.53723404255319	0.550834863217137	0.104695826364308	0.0209638863033375	6.12646641263214e-65
DOID:12849	Autistic_disorder	AUT	153	1.5359477124183	0.573839146162995	0.0884437992137745	0.0177725705623102	4.16354219851627e-53
DOID:5419	Schizophrenia	SCH	535	1.26542056074766	0.4586053609636	0.241398452049411	0.0562119372836068	3.88505652806164e-186
DOID:0060041	Autism_Spectrum_Disorder	ASD	154	1.52597402597403	0.573921858770456	0.0887580426885729	0.0187204191879918	1.86869584730404e-53
DOID:1826	Epilepsy_syndrome	Epi	228	1.44298245614035	0.548360680404973	0.123055181372077	0.0276891833856413	1.14508665787658e-78
DOID:1059	Intellectual_Disability	ID	159	1.62264150943396	0.570134841734596	0.0897951088268773	0.0172883651430451	3.71841758939633e-55
DOID:10763	Hypertension	HTN	195	1.42564102564103	0.516090552230939	0.104669291707683	0.0216029927675873	1.34754952004321e-67
DOID:12858	Huntington's_disease	HD	58	1.5	0.53802758684897	0.0343724390090147	0.0066715404344356	4.23154401789217e-21
DOID:14330	Parkinson's_disease	PD	167	1.49101796407186	0.558270386977988	0.0920343955598857	0.0205762535187222	6.4944049445751e-58
DOID:9255	Frontotemporal_dementia	FTD	102	1.49019607843137	0.62529356336085	0.0587679678818511	0.0136918894161301	5.30684719495702e-36
DOID:2377	Multiple_Sclerosis	MS	134	1.50746268656716	0.597567357473231	0.0763499686212448	0.016656671566707	9.81862369721481e-47
