HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value	HDO.ID	Disease.long	Disease	N	HDO.ID	Disease.long	Disease	N	sAB	Separated	Overlap	zScore	pvalue	Separation/Overlap.than.chance	Bonferroni	q-value
DOID:10652	Alzheimer's_disease	AD	259	DOID:10652	Alzheimer's_disease	AD	259	0	.	.	0	1	larger	.	1	DOID:10652	Alzheimer's_disease	AD	388	DOID:10652	Alzheimer's_disease	AD	388	0	.	.	0	1	larger	.	1	DOID:10652	Alzheimer's_disease	AD	508	DOID:10652	Alzheimer's_disease	AD	508	0	.	.	0	1	larger	.	1
DOID:10652	Alzheimer's_disease	AD	259	DOID:3312	Bipolar_disorder	BD	127	-0.249547559530832	.	YES	-2.44895286977119	0.0143272193860997	Smaller	.	0.0588507009134401	DOID:10652	Alzheimer's_disease	AD	388	DOID:3312	Bipolar_disorder	BD	188	-0.203593395847042	.	YES	-2.54271751826461	0.010999411401453	Smaller	.	0.0428977044656667	DOID:10652	Alzheimer's_disease	AD	508	DOID:3312	Bipolar_disorder	BD	297	-0.175021633494759	.	YES	-2.14657986055221	0.0318267446654239	Smaller	.	0.0856029684104505
DOID:10652	Alzheimer's_disease	AD	259	DOID:12849	Autistic_disorder	AUT	95	-0.102817396216147	.	YES	-0.745983925506895	0.455677125368891	Smaller	.	0.826577111134267	DOID:10652	Alzheimer's_disease	AD	388	DOID:12849	Autistic_disorder	AUT	153	-0.139400862326116	.	YES	-1.8045346872956	0.0711475264395042	Smaller	.	0.221980282491253	DOID:10652	Alzheimer's_disease	AD	508	DOID:12849	Autistic_disorder	AUT	209	-0.128183993016568	.	YES	-2.20975189584691	0.0271223859083147	Smaller	.	0.0813671577249441
DOID:10652	Alzheimer's_disease	AD	259	DOID:5419	Schizophrenia	SCH	366	-0.416021672257738	.	YES	-4.22525969047221	2.38665390743116e-05	Smaller	**	0.000465397511949076	DOID:10652	Alzheimer's_disease	AD	388	DOID:5419	Schizophrenia	SCH	535	-0.342069329194911	.	YES	-4.21819101803709	2.46270149835007e-05	Smaller	**	0.000213434129857006	DOID:10652	Alzheimer's_disease	AD	508	DOID:5419	Schizophrenia	SCH	694	-0.321835758317136	.	YES	-5.57691236319136	2.44825128011624e-08	Smaller	***	2.72805142641524e-07
DOID:10652	Alzheimer's_disease	AD	259	DOID:0060041	Autism_Spectrum_Disorder	ASD	97	-0.101128179692989	.	YES	-0.603364972829248	0.546265918603275	Smaller	.	0.887682117730322	DOID:10652	Alzheimer's_disease	AD	388	DOID:0060041	Autism_Spectrum_Disorder	ASD	154	-0.138557637249957	.	YES	-1.77323157660918	0.0761903417172043	Smaller	.	0.228571025151613	DOID:10652	Alzheimer's_disease	AD	508	DOID:0060041	Autism_Spectrum_Disorder	ASD	212	-0.133212210501989	.	YES	-2.27043505680834	0.0231811994733981	Smaller	.	0.0753388982885438
DOID:10652	Alzheimer's_disease	AD	259	DOID:1826	Epilepsy_syndrome	Epi	138	-0.284488456101642	.	YES	-2.82462047338193	0.00473366491056088	Smaller	.	0.0252084324841958	DOID:10652	Alzheimer's_disease	AD	388	DOID:1826	Epilepsy_syndrome	Epi	228	-0.255967061515081	.	YES	-3.23354043746641	0.00122266025686285	Smaller	.	0.00635783333568682	DOID:10652	Alzheimer's_disease	AD	508	DOID:1826	Epilepsy_syndrome	Epi	288	-0.23352387759005	.	YES	-4.01895001195233	5.84580705548237e-05	Smaller	**	0.000325694964519732
DOID:10652	Alzheimer's_disease	AD	259	DOID:1059	Intellectual_Disability	ID	103	-0.0678454985433476	.	YES	0.201666800889762	0.840177218361535	larger	.	1	DOID:10652	Alzheimer's_disease	AD	388	DOID:1059	Intellectual_Disability	ID	159	-0.0501610080199082	.	YES	0.417604739503714	0.676236130975159	larger	.	0.98460784780317	DOID:10652	Alzheimer's_disease	AD	508	DOID:1059	Intellectual_Disability	ID	240	-0.0686878043987817	.	YES	0.141165043032161	0.887739561106232	larger	.	1
DOID:10652	Alzheimer's_disease	AD	259	DOID:10763	Hypertension	HTN	132	-0.287875309294747	.	YES	-2.99090353768721	0.00278153343676373	Smaller	.	0.0166892006205824	DOID:10652	Alzheimer's_disease	AD	388	DOID:10763	Hypertension	HTN	195	-0.261477919409256	.	YES	-3.84341238731588	0.000121335327935937	Smaller	**	0.000860377779909371	DOID:10652	Alzheimer's_disease	AD	508	DOID:10763	Hypertension	HTN	298	-0.265245537976879	.	YES	-4.88658714016121	1.02598928147749e-06	Smaller	***	6.66893032960369e-06
DOID:10652	Alzheimer's_disease	AD	259	DOID:12858	Huntington's_disease	HD	43	-0.0212325480306383	.	YES	-1.90897147418458	0.0562657716373219	Smaller	.	0.182863757821296	DOID:10652	Alzheimer's_disease	AD	388	DOID:12858	Huntington's_disease	HD	58	0.0878889094355324	YES	.	-0.76792558802803	0.442531394498964	Smaller	.	0.79541558267978	DOID:10652	Alzheimer's_disease	AD	508	DOID:12858	Huntington's_disease	HD	84	0.0476583163591038	YES	.	-1.43447430061801	0.151436957795815	Smaller	.	0.30287391559163
DOID:10652	Alzheimer's_disease	AD	259	DOID:14330	Parkinson's_disease	PD	108	-0.357835842849467	.	YES	-4.95058858952299	7.3989367181633e-07	Smaller	***	1.92372354672246e-05	DOID:10652	Alzheimer's_disease	AD	388	DOID:14330	Parkinson's_disease	PD	167	-0.278092338588357	.	YES	-4.80352800147929	1.55894075908139e-06	Smaller	***	1.73710541726212e-05	DOID:10652	Alzheimer's_disease	AD	508	DOID:14330	Parkinson's_disease	PD	222	-0.235819143488219	.	YES	-5.05578031667628	4.28634520977064e-07	Smaller	***	3.03940842147373e-06
