ALG	Fn	C
fc	GO.0007268	7
fc	GO.0009755	7
fc	GO.0035235	7
fc	GO.0060078	7
fc	GO.0099565	7
fc	GO.0018205	8
fc	GO.0048846	8
fc	GO.0007212	9
fc	GO.0007223	9
fc	GO.0009165	9
fc	GO.0010737	9
fc	GO.0019933	9
fc	GO.0030278	9
fc	GO.0046058	9
fc	GO.0007411	10
fc	GO.0007416	10
fc	GO.0031346	10
fc	GO.0050770	10
fc	GO.0050804	10
fc	GO.0050807	10
fc	GO.0050808	10
fc	GO.0051963	10
fc	GO.0061387	10
fc	GO.0006614	11
fc	GO.0006979	11
fc	GO.0032869	11
fc	GO.0098693	11
fc	GO.0061387	12
fc	GO.0019722	14
fc	GO.0086065	14
fc	GO.0001504	15
fc	GO.0007268	15
fc	GO.0050804	15
fc	GO.0060563	15
fc	GO.0099536	15
fc	GO.0099537	15
fc	GO.0006979	16
fc	GO.0032535	16
fc	GO.0050770	16
fc	GO.0050922	16
fc	GO.0099601	16
fc	GO.0006364	18
fc	GO.0006614	18
fc	GO.0019083	18
fc	GO.0030258	18
fc	GO.0034341	19
fc	GO.0071346	19
fc	GO.0031346	21
fc	GO.0055074	22
fc	GO.0086065	22
fc	GO.0032480	23
fc	GO.0032608	23
fc	GO.0032648	23
fc	GO.0002218	25
fc	GO.0002224	25
fc	GO.0002757	25
fc	GO.0002758	25
fc	GO.0031644	25
fc	GO.0048168	25
fc	GO.0050804	25
fc	GO.0002224	26
fc	GO.0008088	28
fc	GO.0002431	29
fc	GO.0002757	29
fc	GO.0031668	30
fc	GO.0009112	31
fc	GO.0019722	32
fc	GO.0046058	32
fc	GO.0030258	33
fc	GO.0042552	33
fc2	GO.0007268	3
fc2	GO.0009755	3
fc2	GO.0035235	3
fc2	GO.0060078	3
fc2	GO.0099565	3
fc2	GO.0018205	4
fc2	GO.0048846	4
fc2	GO.0007212	5
fc2	GO.0007223	5
fc2	GO.0009165	5
fc2	GO.0010737	5
fc2	GO.0019933	5
fc2	GO.0030278	5
fc2	GO.0046058	5
fc2	GO.0007411	6
fc2	GO.0007416	6
fc2	GO.0031346	6
fc2	GO.0050770	6
fc2	GO.0050804	6
fc2	GO.0050807	6
fc2	GO.0050808	6
fc2	GO.0051963	6
fc2	GO.0061387	6
fc2	GO.0006614	7
fc2	GO.0006979	7
fc2	GO.0032869	7
fc2	GO.0098693	7
fc2	GO.0061387	8
fc2	GO.0019722	10
fc2	GO.0086065	10
fc2	GO.0001504	11
fc2	GO.0007268	11
fc2	GO.0050804	11
fc2	GO.0060563	11
fc2	GO.0099536	11
fc2	GO.0099537	11
fc2	GO.0006979	12
fc2	GO.0032535	12
fc2	GO.0050770	12
fc2	GO.0050922	12
fc2	GO.0099601	12
fc2	GO.0006364	14
fc2	GO.0006614	14
fc2	GO.0019083	14
fc2	GO.0030258	14
fc2	GO.0034341	15
fc2	GO.0071346	15
fc2	GO.0031346	17
fc2	GO.0055074	18
fc2	GO.0086065	18
fc2	GO.0032480	19
fc2	GO.0032608	19
fc2	GO.0032648	19
fc2	GO.0002218	21
fc2	GO.0002224	21
fc2	GO.0002757	21
fc2	GO.0002758	21
fc2	GO.0031644	21
fc2	GO.0048168	21
fc2	GO.0050804	21
fc2	GO.0002224	22
fc2	GO.0008088	24
fc2	GO.0002431	25
fc2	GO.0002757	25
fc2	GO.0031668	26
fc2	GO.0009112	27
fc2	GO.0019722	28
fc2	GO.0046058	28
fc2	GO.0030258	29
fc2	GO.0042552	29
fc2	GO.0002224	33
fc2	GO.0031345	33
fc2	GO.0032535	33
