id	name	K
0	1000	25
1	10005	16
2	10006	14
3	10007	44
4	10014	15
5	10015	37
6	10016	35
7	1002	3
8	10021	3
9	100287932	25
10	10043	22
11	10044	3
12	10048	28
13	10049	5
14	10054	35
15	10055	8
16	10056	16
17	10058	4
18	10059	16
19	10061	20
20	100653515	44
21	10067	45
22	10072	42
23	10075	17
24	10076	28
25	10079	12
26	1008	21
27	1009	3
28	10092	2
29	10093	2
30	10094	2
31	10096	39
32	10097	2
33	10100	7
34	10102	16
35	10105	20
36	10109	2
37	10111	30
38	10113	45
39	1012	5
40	10120	24
41	10121	24
42	10125	3
43	10127	36
44	10128	16
45	10129	25
46	1013	22
47	10130	8
48	10131	22
49	10133	25
50	10135	18
51	10142	17
52	10146	32
53	10147	44
54	10152	42
55	10154	6
56	10155	4
57	10156	37
58	10159	20
59	10160	25
60	10163	20
61	10165	16
62	10178	32
63	10180	21
64	10188	22
65	10189	18
66	102	37
67	1020	39
68	10207	22
69	10209	5
70	10211	20
71	10212	3
72	10213	2
73	10228	7
74	10235	44
75	10236	3
76	10238	39
77	10239	8
78	10240	16
79	10243	35
80	10247	28
81	1025	5
82	10250	21
83	10270	45
84	10273	5
85	10276	14
86	10287	44
87	10290	37
88	10294	20
89	10295	24
90	10296	22
91	10297	6
92	103	21
93	10313	7
94	10314	7
95	10319	35
96	10320	36
97	10322	3
98	10328	14
99	10330	32
100	10342	36
101	10343	19
102	10350	31
103	10367	16
104	10369	33
105	10376	35
106	10380	22
107	10381	18
108	10382	28
109	10383	32
110	10391	8
111	103910	42
112	10395	0
113	10396	12
114	10397	20
115	10398	24
116	10399	35
117	104	21
118	10409	20
119	10411	4
120	10419	15
121	10423	7
122	10424	7
123	10426	8
124	10427	30
125	10428	21
126	10432	17
127	10434	4
128	10439	44
129	10440	24
130	10444	24
131	10447	7
132	10449	16
133	10452	12
134	10455	12
135	10456	38
136	10458	10
137	10460	36
138	10466	15
139	10469	20
140	10471	4
141	10476	16
142	10482	36
143	10483	40
144	10484	40
145	10486	17
146	10487	21
147	10490	7
148	10492	35
149	10493	20
150	10494	9
151	10497	21
152	10498	35
153	10499	15
154	10507	25
155	10514	21
156	10521	35
157	10525	20
158	10527	19
159	10528	20
160	10529	36
161	10534	9
162	10536	4
163	10539	3
164	10540	42
165	10541	21
166	10549	6
167	10550	20
168	10554	28
169	10564	8
170	10565	35
171	10570	32
172	10574	24
173	10575	24
174	10576	24
175	10579	25
176	10580	30
177	10587	17
178	10592	2
179	10594	31
180	10598	44
181	10605	36
182	10606	30
183	10611	24
184	10612	22
185	10613	2
186	10615	19
187	10617	35
188	1062	24
189	10620	43
190	10627	3
191	1063	4
192	10632	16
193	10636	44
194	10640	36
195	10645	33
196	10651	12
197	10652	20
198	10657	35
199	10658	22
200	10659	17
201	10664	15
202	10670	14
203	10672	5
204	10675	31
205	10681	5
206	1069	24
207	10690	31
208	10693	39
209	10694	24
210	1072	32
211	10723	45
212	10724	32
213	10726	5
214	10728	5
215	1073	39
216	10730	16
217	10743	21
218	10749	24
219	10752	31
220	10755	37
221	10763	4
222	10765	37
223	10767	42
224	10768	20
225	10769	39
226	10787	30
227	10788	16
228	108	8
229	1080	17
230	10801	23
231	10804	31
232	10808	24
233	10810	36
234	10814	31
235	10815	20
236	10817	22
237	10818	14
238	10827	20
239	10840	8
240	10844	2
241	10845	16
242	10856	24
243	10857	20
244	10869	5
245	10884	16
246	10890	25
247	10891	18
248	109	3
249	10900	36
250	10901	16
251	10908	11
252	10910	5
253	10916	12
254	10919	15
255	10920	22
256	10921	35
257	10923	21
258	10933	36
259	10935	32
260	10938	25
261	10939	16
262	10943	17
263	10945	4
264	10949	29
265	10952	6
266	10953	7
267	10959	39
268	10960	37
269	10961	8
270	10963	5
271	10965	16
272	10970	20
273	10971	39
274	10972	29
275	10973	2
276	10979	20
277	10980	32
278	10982	19
279	10987	39
280	10988	24
281	10989	12
282	10994	39
283	10999	3
284	11001	43
285	11004	34
286	11007	42
287	11011	44
288	11020	24
289	11021	24
290	11022	16
291	11031	23
292	11033	28
293	11034	32
294	11041	21
295	11047	22
296	1105	32
297	11051	36
298	11052	29
299	11059	35
300	11064	2
301	11069	35
302	11075	4
303	11076	21
304	11078	25
305	1108	21
306	11080	21
307	11083	28
308	111	8
309	11100	29
310	11112	7
311	11113	18
312	11117	17
313	11122	6
314	11127	15
315	11130	42
316	11135	45
317	11138	3
318	1114	3
319	11140	39
320	11141	9
321	11146	24
322	11151	44
323	11152	16
324	11160	26
325	11163	42
326	11165	32
327	11168	21
328	11169	44
329	11170	36
330	11171	22
331	11176	43
332	11177	21
333	11178	42
334	11180	20
335	11188	20
336	11190	23
337	11196	36
338	11197	21
339	11198	19
340	112	20
341	11216	11
342	11217	16
343	11221	10
344	11222	16
345	11224	39
346	1123	28
347	11230	43
348	11231	45
349	11235	32
350	112476	31
351	11248	3
352	11252	10
353	11253	3
354	11258	24
355	11259	21
356	11261	23
357	11273	16
358	112755	7
359	11276	10
360	1128	29
361	112802	13
362	112840	3
363	112936	9
364	112939	11
365	1130	32
366	1131	8
367	11311	20
368	11313	44
369	11315	27
370	113157	44
371	11316	12
372	113201	7
373	113246	32
374	11331	32
375	11332	40
376	11333	43
377	11334	37
378	11335	31
379	11336	6
380	11343	7
381	11344	28
382	11345	17
383	11346	28
384	114088	36
385	114134	8
386	114294	16
387	114327	36
388	114569	7
389	1147	35
390	114780	43
391	114784	22
392	114786	3
393	114787	6
394	114789	16
395	114793	25
396	114801	31
397	114824	42
398	114827	44
399	114876	22
400	114880	44
401	114882	20
402	114900	22
403	114928	36
404	114971	36
405	114991	24
406	115	25
407	115098	45
408	1152	24
409	115207	37
410	115286	44
411	1153	29
412	115361	16
413	1155	28
414	115557	28
415	115701	44
416	115703	6
417	115704	12
418	1158	36
419	115811	44
420	115817	4
421	115827	17
422	1159	36
423	115948	36
424	1160	31
425	116151	7
426	116228	7
427	116442	25
428	116443	37
429	116835	36
430	116841	7
431	116931	16
432	116984	6
433	116985	17
434	116986	3
435	116987	35
436	116988	44
437	117	8
438	117145	16
439	117159	31
440	117177	42
441	1173	25
442	1174	36
443	1175	3
444	1176	8
445	118	18
446	1181	5
447	1182	25
448	118427	5
449	1186	7
450	118812	3
451	118881	22
452	119	10
453	1191	41
454	12	35
455	120	45
456	1200	16
457	120892	28
458	1209	16
459	1211	35
460	1212	7
461	1213	25
462	121391	13
463	121441	26
464	121504	15
465	122402	5
466	122553	23
467	122961	4
468	123283	2
469	123591	4
470	123879	45
471	124044	34
472	124739	31
473	124801	31
474	124995	16
475	124997	8
476	125113	38
477	125115	13
478	125988	20
479	126003	20
480	126006	44
481	126133	3
482	126298	7
483	126374	18
484	1264	24
485	1266	39
486	1267	20
487	1268	5
488	1271	6
489	1272	25
490	127281	22
491	1277	28
492	127703	13
493	127731	44
494	127795	9
495	1278	0
496	127829	23
497	127833	43
498	128	18
499	128178	38
500	1282	22
501	128312	22
502	1284	24
503	128866	8
504	128869	45
505	129049	39
506	1291	11
507	129138	3
508	129285	39
509	1293	30
510	129446	30
511	129684	44
512	129807	3
513	1302	22
514	130507	22
515	1307	16
516	130813	22
517	131034	35
518	131096	44
519	131118	31
520	1312	7
521	1314	2
522	131405	39
523	131474	16
524	1315	5
525	131544	16
526	131873	2
527	132001	21
528	132204	31
529	132299	32
530	132320	2
531	1327	1
532	132864	22
533	132884	11
534	1329	12
535	133121	31
536	133558	37
537	133686	16
538	1337	3
539	133746	13
540	133957	22
541	1340	16
542	134492	39
543	1345	20
544	1347	16
545	134829	36
546	134957	31
547	1350	31
548	1356	29
549	1362	20
550	1363	32
551	136319	30
552	1374	8
553	138311	4
554	1384	5
555	1386	39
556	1387	15
557	139065	16
558	139322	16
559	139341	40
560	1397	24
561	1398	14
562	139818	21
563	1399	14
564	1400	32
565	140460	4
566	140465	39
567	140469	3
568	140576	44
569	140679	45
570	140710	36
571	140735	17
572	140803	32
573	140807	13
574	140823	25
575	140885	40
576	1410	40
577	142	15
578	142678	24
579	1428	22
580	1429	44
581	143098	10
582	1431	1
583	1432	39
584	1434	5
585	143425	40
586	143471	36
587	1436	14
588	143884	13
589	144100	42
590	144165	4
591	144402	45
592	1445	14
593	1452	17
594	1453	17
595	1454	17
596	1455	6
597	145508	2
598	145567	23
599	145581	9
600	1456	25
601	1457	31
602	145773	4
603	1459	35
604	1460	28
605	146177	44
606	146223	43
607	146395	22
608	1464	6
609	1465	39
610	146691	22
