ALG	Fn	DES	C	Mu
louvain2	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	2	6
louvain2	GO.0007268	chemical_synaptic_transmission	4	24
louvain2	GO.0007269	neurotransmitter_secretion	4	22
louvain2	GO.0016079	synaptic_vesicle_exocytosis	4	20
louvain2	GO.0016082	synaptic_vesicle_priming	4	10
louvain2	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	4	11
louvain2	GO.0050804	modulation_of_chemical_synaptic_transmis...	4	14
louvain2	GO.0061025	membrane_fusion	4	18
louvain2	GO.0098693	regulation_of_synaptic_vesicle_cycle	4	10
louvain2	GO.0099003	vesicle-mediated_transport_in_synapse	4	23
louvain2	GO.0099504	synaptic_vesicle_cycle	4	25
louvain2	GO.0099536	synaptic_signaling	4	24
louvain2	GO.0099537	trans-synaptic_signaling	4	24
louvain2	GO.0099643	signal_release_from_synapse	4	22
louvain2	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	4	8
louvain2	GO.0000165	MAPK_cascade	10	14
louvain2	GO.0002218	activation_of_innate_immune_response	10	14
louvain2	GO.0002757	immune_response-activating_signal_transd...	10	14
louvain2	GO.0002758	innate_immune_response-activating_signal...	10	14
louvain2	GO.0050852	T_cell_receptor_signaling_pathway	10	14
louvain2	GO.0016571	histone_methylation	24	4
louvain2	GO.0034968	histone_lysine_methylation	24	4
louvain2	GO.0043414	macromolecule_methylation	24	4
louvain2	GO.0048488	synaptic_vesicle_endocytosis	26	9
louvain2	GO.0099003	vesicle-mediated_transport_in_synapse	26	9
louvain2	GO.0099504	synaptic_vesicle_cycle	26	9
louvain2	GO.0006364	rRNA_processing	41	8
louvain2	GO.0006614	SRP-dependent_cotranslational_protein_ta...	41	11
louvain2	GO.0019083	viral_transcription	41	11
louvain2	GO.0007212	dopamine_receptor_signaling_pathway	45	4
louvain2	GO.0019933	cAMP-mediated_signaling	45	7
louvain2	GO.0007268	chemical_synaptic_transmission	50	17
louvain2	GO.0031644	regulation_of_neurological_system_proces...	50	6
louvain2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	50	10
louvain2	GO.0099536	synaptic_signaling	50	17
louvain2	GO.0099537	trans-synaptic_signaling	50	17
louvain2	GO.0099565	chemical_synaptic_transmission,_postsyna...	50	8
louvain2	GO.0099601	regulation_of_neurotransmitter_receptor_...	50	8
louvain2	GO.0016458	gene_silencing	51	5
louvain2	GO.0060333	interferon-gamma-mediated_signaling_path...	54	4
louvain2	GO.0035235	ionotropic_glutamate_receptor_signaling_...	72	3
louvain2	GO.0042417	dopamine_metabolic_process	77	3
louvain2	GO.0006614	SRP-dependent_cotranslational_protein_ta...	99	5
louvain2	GO.0019083	viral_transcription	99	5
louvain2	GO.0060078	regulation_of_postsynaptic_membrane_pote...	106	6
Spectral	GO.0035235	ionotropic_glutamate_receptor_signaling_...	1	4
Spectral	GO.0006364	rRNA_processing	5	8
Spectral	GO.0006614	SRP-dependent_cotranslational_protein_ta...	5	16
Spectral	GO.0019083	viral_transcription	5	16
Spectral	GO.0009165	nucleotide_biosynthetic_process	8	22
Spectral	GO.0000165	MAPK_cascade	17	15
Spectral	GO.0002218	activation_of_innate_immune_response	17	13
Spectral	GO.0002757	immune_response-activating_signal_transd...	17	13
Spectral	GO.0002758	innate_immune_response-activating_signal...	17	13
Spectral	GO.0050852	T_cell_receptor_signaling_pathway	17	13
Spectral	GO.0002431	Fc_receptor_mediated_stimulatory_signali...	22	6
Spectral	GO.0019933	cAMP-mediated_signaling	24	8
Spectral	GO.0060078	regulation_of_postsynaptic_membrane_pote...	25	7
Spectral	GO.0007269	neurotransmitter_secretion	48	9
Spectral	GO.0099003	vesicle-mediated_transport_in_synapse	48	9
Spectral	GO.0099504	synaptic_vesicle_cycle	48	8
Spectral	GO.0099643	signal_release_from_synapse	48	9
Spectral	GO.0007269	neurotransmitter_secretion	49	16
Spectral	GO.0016079	synaptic_vesicle_exocytosis	49	16
Spectral	GO.0016082	synaptic_vesicle_priming	49	9
Spectral	GO.0031629	synaptic_vesicle_fusion_to_presynaptic_a...	49	11
Spectral	GO.0061025	membrane_fusion	49	22
Spectral	GO.0098693	regulation_of_synaptic_vesicle_cycle	49	9
Spectral	GO.0099003	vesicle-mediated_transport_in_synapse	49	21
Spectral	GO.0099504	synaptic_vesicle_cycle	49	21
Spectral	GO.0099643	signal_release_from_synapse	49	16
Spectral	GO.2000300	regulation_of_synaptic_vesicle_exocytosi...	49	8
Spectral	GO.0007268	chemical_synaptic_transmission	50	24
Spectral	GO.0035235	ionotropic_glutamate_receptor_signaling_...	50	5
Spectral	GO.0060078	regulation_of_postsynaptic_membrane_pote...	50	9
Spectral	GO.0099536	synaptic_signaling	50	24
Spectral	GO.0099537	trans-synaptic_signaling	50	24
Spectral	GO.0099601	regulation_of_neurotransmitter_receptor_...	50	10
