ENTREZ.ID	GENE.NAME	DEGREE	SR_UP	SR_DOWN
273	AMPH	16	0.667192932413718	0.668019310063482
6455	SH3GL1	32	0.667292093569261	0.667905519058446
1759	DNM1	24	0.66737385551642	0.667946024122451
1785	DNM2	42	0.667478634051659	0.667821242607535
26052	DNM3	9	0.667614673793173	0.668003576280332
2060	EPS15	29	0.667471956570666	0.6678988633305
673	BRAF	31	0.667663383777063	0.667856020143206
1837	DTNA	9	0.667522716013593	0.66802073471482
1821	DRP2	3	0.667745100543757	0.668027588783959
1756	DMD	9	0.667497317060784	0.668023178332697
1605	DAG1	19	0.667598938119684	0.667945723849185
369	ARAF	40	0.667618667111476	0.667809959776242
2923	PDIA3	24	0.667010915612302	0.66800917499363
3836	KPNA1	10	0.667419090264756	0.668029277054205
26986	PABPC1	13	0.667209524792844	0.668039678953986
22808	MRAS	4	0.667686529247598	0.668028711345211
7534	YWHAZ	82	0.668062697250715	0.667501458262824
7531	YWHAE	48	0.667301103644151	0.667809507191883
58513	EPS15L1	9	0.667568348993034	0.668011340635353
1487	CTBP1	29	0.666969558982392	0.667970476464413
2317	FLNB	13	0.667692849739323	0.667966747975327
2316	FLNA	40	0.667476905820695	0.667833866244371
2887	GRB10	21	0.667571802037206	0.667933911766208
29979	UBQLN1	82	0.666868029342691	0.66770242053398
5663	PSEN1	59	0.667065106069256	0.667799939958558
3709	ITPR2	3	0.667727519607521	0.66803065002829
1793	DOCK1	10	0.667592202232987	0.668001977796547
2274	FHL2	33	0.667133841947232	0.667925083392493
10014	HDAC5	17	0.667329664714536	0.667991451986185
8470	SORBS2	23	0.667316030927059	0.667956452363476
2885	GRB2	214	0.670910504178415	0.666403237148045
29993	PACSIN1	29	0.666883837492927	0.667988147409263
6456	SH3GL2	34	0.667116239849296	0.667920110315432
10133	OPTN	38	0.667304454279286	0.667872314919234
22895	RPH3A	3	0.667708430083004	0.668033541204531
8844	KSR1	9	0.667603153091127	0.668005500221579
5094	PCBP2	14	0.667426730620758	0.667996989445869
3739	KCNA4	5	0.667728827433702	0.668015377582547
6548	SLC9A1	10	0.667652819187829	0.667993935605614
3688	ITGB1	35	0.667330362209648	0.667896843067668
6645	SNTB2	8	0.6676415979882	0.668006770408912
4842	NOS1	10	0.667440317530404	0.668022648951865
10605	PAIP1	4	0.667661499377073	0.668032348024951
1975	EIF4B	9	0.667469430234751	0.668028996805133
1981	EIF4G1	17	0.667271363512612	0.668005873826496
3303	HSPA1A	25	0.667331774198046	0.667942135345964
23163	GGA3	16	0.667345019205541	0.667998956671482
6616	SNAP25	16	0.667332495746653	0.668004175487972
3265	HRAS	313	0.673679096705416	0.665494321919517
351	APP	76	0.667321630128527	0.667666096457607
9863	MAGI2	28	0.666921735997007	0.667984743736955
8491	MAP4K3	8	0.667732366196222	0.667995649924142
4734	NEDD4	77	0.66738598668545	0.667644124642619
30011	SH3KBP1	30	0.6673840131827	0.667902415586784
1387	CREBBP	66	0.667559188277988	0.667674675332445
2318	FLNC	24	0.667165970170795	0.667979350723338
51517	NCKIPSD	13	0.667520866098426	0.667991855865604
5195	PEX14	9	0.667595748270418	0.668007341168614
5193	PEX12	10	0.667278497731015	0.668048443826961
2475	MTOR	29	0.66747488252168	0.667897998343482
207	AKT1	135	0.669578382531502	0.666990955670074
5170	PDPK1	41	0.667116458673187	0.667885376001204
