entA	entB	We
273	1759	1
273	1785	1
273	26052	1
273	824	1
273	50618	1
273	161	1
273	274	1
273	1020	1
273	5530	1
273	5532	1
273	5533	1
273	25977	1
273	8867	1
273	9901	1
6455	1759	1
6455	1785	1
6455	26052	1
6455	6456	1
6455	30011	1
6455	7534	1
6455	10015	1
6455	50618	1
6455	6457	1
6455	7431	1
6455	392	1
6455	5689	1
6455	1783	1
6455	10570	1
6455	2130	1
6455	114569	1
6455	23176	1
6455	10059	1
6455	6812	1
6455	3778	1
6455	57030	1
6455	636	1
6455	120892	1
6455	65059	1
6455	192683	1
6455	8867	1
6455	9901	1
1759	1785	1
1759	2885	1
1759	29993	1
1759	6456	1
1759	5621	1
1759	3064	1
1759	50807	1
1759	274	1
1759	6453	1
1759	9644	1
1759	51429	1
1759	5217	1
1759	8440	1
1759	1020	1
1759	6714	1
1759	5530	1
1759	120892	1
1759	8243	1
1759	92609	1
1785	2885	1
1785	6456	1
1785	3146	1
1785	10484	1
1785	10574	1
1785	50618	1
1785	5859	1
1785	7919	1
1785	3064	1
1785	6453	1
1785	2801	1
1785	6261	1
1785	6262	1
1785	9644	1
1785	51429	1
1785	1639	1
1785	26060	1
1785	1398	1
1785	1780	1
1785	2580	1
1785	50944	1
1785	22941	1
1785	7415	1
1785	6714	1
1785	2017	1
1785	51386	1
1785	26230	1
1785	11253	1
1785	5837	1
1785	6386	1
1785	5479	1
1785	5563	1
1785	553115	1
1785	51678	1
1785	6187	1
1785	9531	1
26052	27101	1
26052	2534	1
26052	5708	1
26052	10273	1
26052	5536	1
26052	8079	1
26052	80755	1
2060	2885	1
2060	10133	1
2060	50618	1
2060	26994	1
2060	7316	1
2060	9146	1
2060	29924	1
2060	161	1
2060	163	1
2060	6453	1
2060	2534	1
2060	25843	1
2060	4646	1
2060	4734	1
2060	7321	1
2060	7322	1
2060	2332	1
2060	23111	1
2060	5783	1
2060	8650	1
2060	84251	1
2060	9522	1
2060	9185	1
673	3265	1
673	7534	1
673	7529	1
673	7532	1
673	10971	1
673	7533	1
673	5894	1
673	2810	1
673	369	1
673	23327	1
673	5515	1
673	4893	1
673	4734	1
673	5062	1
673	55704	1
673	5605	1
673	3845	1
673	5594	1
673	5595	1
673	3326	1
673	5609	1
673	5604	1
673	92609	1
1837	1821	1
1837	1756	1
1837	6774	1
1837	6195	1
1837	26060	1
1837	23043	1
1837	3845	1
1837	7402	1
1837	23336	1
1821	3190	1
1756	1838	1
1756	4217	1
1756	9463	1
1756	5589	1
1756	440073	1
2923	2475	1
2923	29763	1
2923	5798	1
2923	7415	1
2923	6786	1
2923	307	1
2923	129285	1
2923	821	1
2923	54014	1
2923	1327	1
2923	811	1
2923	823	1
2923	871	1
2923	80279	1
2923	55848	1
26986	5094	1
26986	10605	1
26986	1981	1
26986	5093	1
26986	3190	1
26986	6311	1
26986	10419	1
26986	64324	1
26986	51366	1
22808	5894	1
22808	4301	1
22808	6921	1
58513	50618	1
58513	3309	1
58513	6453	1
58513	1783	1
58513	4646	1
58513	57554	1
58513	10525	1
1487	1495	1
1487	2903	1
1487	2906	1
1487	10142	1
1487	4831	1
1487	5601	1
1487	5932	1
1487	3066	1
1487	10432	1
1487	23236	1
1487	1488	1
1487	5562	1
1487	54828	1
1487	23177	1
1487	51412	1
3709	1981	1
3709	55763	1
3709	7223	1
1793	2885	1
1793	9844	1
1793	63916	1
1793	2534	1
1793	1398	1
1793	8440	1
1793	5566	1
1793	160622	1
1793	6714	1
2274	3688	1
2274	3799	1
2274	5573	1
2274	10006	1
2274	274	1
2274	6774	1
2274	6421	1
2274	3728	1
2274	3983	1
2274	56243	1
2274	3055	1
2274	1499	1
2274	5594	1
2274	11331	1
2274	3417	1
2274	25959	1
2274	11221	1
2274	8301	1
2274	154796	1
2274	9229	1
2274	80212	1
2274	23066	1
2274	2786	1
2274	823	1
2274	55970	1
8470	7534	1
8470	7531	1
8470	1956	1
8470	10006	1
8470	22839	1
8470	2801	1
8470	6133	1
8470	8440	1
8470	87	1
8470	5062	1
8470	27	1
8470	8976	1
8470	10295	1
8470	81	1
8470	8867	1
8470	8754	1
8470	8936	1
8470	8667	1
2885	3265	1
2885	8491	1
2885	30011	1
2885	51517	1
2885	1615	1
2885	7249	1
2885	1742	1
2885	2066	1
2885	9228	1
2885	10015	1
2885	2495	1
2885	6640	1
2885	3842	1
2885	5799	1
2885	1956	1
2885	10006	1
2885	7916	1
2885	5621	1
2885	1191	1
2885	3309	1
2885	58512	1
2885	22839	1
2885	7316	1
2885	7431	1
2885	4130	1
2885	28964	1
2885	1627	1
2885	2316	1
2885	50807	1
2885	274	1
2885	10188	1
2885	5786	1
2885	6261	1
2885	998	1
2885	5747	1
2885	5781	1
2885	3190	1
2885	10657	1
2885	51726	1
2885	10236	1
2885	613	1
2885	10540	1
2885	2059	1
2885	6601	1
2885	4893	1
2885	7317	1
2885	60491	1
2885	3183	1
2885	10919	1
2885	1315	1
2885	7360	1
2885	25758	1
2885	22941	1
2885	9699	1
2885	9266	1
2885	80852	1
2885	7415	1
2885	2023	1
2885	10659	1
2885	7112	1
2885	5062	1
2885	3845	1
2885	85358	1
2885	5530	1
2885	27	1
2885	1795	1
2885	6137	1
2885	357	1
2885	610	1
2885	6654	1
2885	445815	1
2885	22999	1
2885	23114	1
2885	23230	1
2885	2550	1
2885	2571	1
2885	287	1
2885	26275	1
2885	2639	1
2885	2	1
2885	1892	1
2885	2271	1
2885	2098	1
2885	23020	1
2885	9093	1
2885	196403	1
2885	9826	1
2885	84445	1
2885	7159	1
2885	8482	1
2885	9743	1
2885	8976	1
2885	11127	1
2885	25930	1
2885	282974	1
2885	147179	1
2885	4627	1
2885	4509	1
2885	6711	1
2885	56252	1
2885	4691	1
2885	373156	1
2885	5532	1
2885	10521	1
2885	9229	1
2885	23001	1
2885	10100	1
2885	8664	1
2885	3856	1
2885	57326	1
2885	4133	1
2885	51560	1
2885	7311	1
2885	144100	1
2885	124044	1
2885	56666	1
2885	3005	1
2885	4629	1
2885	399687	1
2885	6792	1
2885	5430	1
2885	9732	1
2885	6599	1
2885	8724	1
2885	8867	1
2885	8871	1
2885	9793	1
2885	8853	1
2885	9948	1
2885	7018	1
2885	9901	1
2885	8506	1
2885	29934	1
2885	9054	1
2885	51762	1
2885	8570	1
2885	9185	1
2885	4538	1
2885	6506	1
2885	5445	1
2885	9859	1
2885	8936	1
29993	51517	1
29993	7534	1
29993	29763	1
29993	2495	1
29993	667	1
29993	3064	1
29993	3190	1
29993	170961	1
29993	27316	1
29993	4137	1
29993	23242	1
29993	6654	1
29993	23301	1
29993	4509	1
29993	6711	1
29993	83737	1
29993	2778	1
29993	8522	1
29993	30845	1
29993	7171	1
29993	6147	1
29993	9097	1
29993	8867	1
29993	84457	1
6456	8491	1
6456	30011	1
6456	10015	1
6456	1956	1
6456	6457	1
6456	22839	1
6456	2010	1
6456	50807	1
6456	6453	1
6456	71	1
6456	2534	1
6456	6311	1
6456	10657	1
6456	2079	1
6456	10570	1
6456	2947	1
6456	1781	1
6456	57030	1
6456	26230	1
6456	25930	1
6456	3507	1
6456	129285	1
6456	83737	1
6456	120892	1
6456	65059	1
6456	8867	1
6456	8754	1
6456	9901	1
10133	3265	1
10133	2495	1
10133	26994	1
10133	7316	1
10133	667	1
10133	1213	1
10133	3064	1
10133	9463	1
10133	3315	1
10133	81631	1
10133	7314	1
10133	4646	1
10133	4218	1
10133	79735	1
10133	9230	1
10133	2911	1
10133	7415	1
10133	58533	1
10133	1540	1
10133	6386	1
10133	10890	1
10133	29110	1
10133	84557	1
10133	9255	1
10133	51552	1
10133	7871	1
10133	201475	1
22895	5864	1
22895	8573	1
22895	5874	1
8844	7534	1
8844	7529	1
8844	5894	1
8844	4140	1
8844	5605	1
8844	4155	1
8844	3326	1
8844	5604	1
5094	5093	1
5094	3184	1
5094	3190	1
5094	4904	1
5094	3191	1
5094	5725	1
5094	7415	1
5094	6428	1
5094	9444	1
5094	8573	1
3739	1742	1
3739	1740	1
3739	1741	1
3739	1739	1
3739	88	1
6548	3265	1
6548	7529	1
6548	4893	1
6548	3845	1
6548	801	1
6548	808	1
6548	5534	1
6548	9448	1
3688	3265	1
3688	7529	1
3688	1956	1
3688	2316	1
3688	4297	1
3688	4831	1
3688	4893	1
3688	2170	1
3688	4869	1
3688	4830	1
3688	2023	1
3688	4067	1
3688	3845	1
3688	4000	1
3688	5162	1
3688	7094	1
3688	10979	1
3688	23019	1
3688	821	1
3688	54014	1
3688	26232	1
3688	57460	1
3688	9448	1
3688	1769	1
3688	7846	1
3688	6196	1
3688	83660	1
6645	1742	1
6645	2066	1
6645	5798	1
6645	6195	1
6645	22983	1
6645	7430	1
4842	1742	1
4842	1740	1
4842	6640	1
4842	10273	1
4842	22983	1
4842	10970	1
4842	4644	1
4842	55697	1
10605	815	1
10605	1973	1
10605	51366	1
1975	1457	1
1975	6195	1
1975	8661	1
1975	817	1
1975	221692	1
1975	8237	1
1975	6733	1
1975	9775	1
1975	343990	1
1981	3315	1
1981	9513	1
1981	1973	1
1981	7337	1
1981	56252	1
1981	1488	1
1981	2710	1
1981	1977	1
1981	6733	1
1981	553115	1
1981	308	1
3303	3320	1
3303	1956	1
3303	9693	1
3303	5792	1
3303	10273	1
3303	192111	1
3303	6767	1
3303	6271	1
3303	6622	1
3303	7158	1
3303	9131	1
3303	4137	1
3303	10963	1
3303	23542	1
3303	22919	1
3303	10055	1
3303	9532	1
3303	8079	1
3303	9868	1
3303	9531	1
3303	6620	1
23163	26994	1
23163	7316	1
23163	7251	1
23163	9146	1
23163	9135	1
23163	375	1
23163	7314	1
23163	4646	1
23163	55823	1
23163	382	1
23163	636	1
23163	57617	1
23163	3482	1
23163	377	1
23163	257160	1
6616	3799	1
6616	6810	1
6616	6804	1
6616	1956	1
6616	9146	1
6616	6453	1
6616	112476	1
6616	80725	1
6616	6857	1
6616	6844	1
6616	112755	1
6616	10815	1
3265	2475	1
3265	5898	1
3265	5573	1
3265	6810	1
3265	8773	1
3265	5894	1
3265	29763	1
3265	1741	1
3265	3936	1
3265	1495	1
3265	5362	1
3265	57670	1
3265	1956	1
3265	10006	1
3265	1838	1
3265	4684	1
3265	1739	1
3265	4301	1
3265	10458	1
3265	1612	1
3265	4478	1
3265	369	1
3265	1173	1
3265	11059	1
3265	5097	1
3265	23705	1
3265	5861	1
3265	6558	1
3265	23513	1
3265	5792	1
3265	5786	1
3265	682	1
3265	27131	1
3265	998	1
3265	10163	1
3265	55845	1
3265	2037	1
3265	8476	1
3265	4354	1
3265	4905	1
3265	4140	1
3265	2059	1
3265	10397	1
3265	55004	1
3265	7542	1
3265	642	1
3265	10419	1
3265	4893	1
3265	1952	1
3265	11031	1
3265	9230	1
3265	6195	1
3265	6002	1
3265	26505	1
3265	26003	1
3265	23157	1
3265	140885	1
3265	57120	1
3265	9253	1
3265	7165	1
3265	6093	1
3265	55914	1
3265	5413	1
3265	23176	1
3265	4067	1
3265	1499	1
3265	476	1
3265	23043	1
3265	55763	1
3265	58533	1
3265	6714	1
3265	2043	1
3265	6708	1
3265	6709	1
3265	3845	1
3265	5218	1
3265	4155	1
3265	85358	1
3265	6654	1
3265	5870	1
3265	9475	1
3265	10801	1
3265	55752	1
3265	10211	1
3265	3956	1
3265	5290	1
3265	50488	1
3265	219771	1
3265	1267	1
3265	4082	1
3265	310	1
3265	23086	1
3265	23580	1
3265	114793	1
3265	56924	1
3265	5910	1
3265	23236	1
3265	54477	1
3265	6711	1
3265	10105	1
3265	116984	1
3265	23191	1
3265	3996	1
3265	2776	1
3265	10636	1
3265	30846	1
3265	338	1
3265	5818	1
3265	6844	1
3265	301	1
3265	23646	1
3265	10381	1
3265	118	1
3265	5297	1
3265	989	1
3265	23348	1
3265	51735	1
3265	10979	1
3265	55243	1
3265	23011	1
3265	10564	1
3265	10890	1
3265	2036	1
3265	120	1
3265	10938	1
3265	2011	1
3265	157922	1
3265	11311	1
3265	23673	1
3265	10565	1
3265	214	1
3265	8650	1
3265	1500	1
3265	3482	1
3265	6814	1
3265	10652	1
3265	7525	1
3265	54927	1
3265	421	1
3265	143098	1
3265	23657	1
3265	22905	1
3265	23052	1
3265	57826	1
3265	4012	1
3265	55040	1
3265	255057	1
3265	144402	1
3265	9341	1
3265	51090	1
3265	55075	1
3265	5333	1
3265	10493	1
3265	7019	1
3265	9448	1
3265	5923	1
3265	56288	1
3265	51393	1
3265	6507	1
3265	6305	1
3265	811	1
3265	112	1
3265	9554	1
3265	253959	1
3265	23187	1
3265	6768	1
3265	6566	1
3265	6520	1
3265	90678	1
3265	2035	1
3265	5364	1
3265	81624	1
3265	8502	1
