C	Cn	ADonly	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	HTNonly	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ADandHTN	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ADorHTN	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	other	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	41	401	7	3.41312	2.28979	[1.01,5.20]	0.120065	1	0.1		1	1		191	1	1.6257	0.603421	[0.08,4.41]	1	1	0.1		0.645552	1		107	0	0.910733	0	[0.00,0.00]	1	1	0.1		1	1		699	8	5.94955	1.43314	[0.66,3.12]	0.48148	1	0.1		1	1		4118	33	35.0504	0.697766	[0.32,1.52]	0.472824	1	0.1		0.213169	1		
2	272	401	17	22.6431	0.722396	[0.44,1.19]	0.240245	1	0.1		0.084416	1		191	0	10.7851	0	[0.00,0.00]	1	1	0.1		1	1		107	0	6.04193	0	[0.00,0.00]	1	1	0.1		1	1		699	17	39.4702	0.377615	[0.23,0.62]	2.04834e-05	0.00109036	0.1	**	1.30553e-05	0.00200764	**	4118	255	232.53	2.6482	[1.61,4.36]	2.85536e-05	0.00146366	0.1	**	1	1		
3	337	401	16	28.0542	0.530161	[0.32,0.89]	0.0122933	0.315076	0.1		0.00620023	0.476735		191	7	13.3625	0.495257	[0.23,1.06]	0.0732118	1	0.1		0.0408888	1		107	0	7.48578	0	[0.00,0.00]	1	1	0.1		1	1		699	23	48.9024	0.412185	[0.27,0.63]	9.97626e-06	0.000657491	0.1	**	6.00689e-06	0.00103921	**	4118	314	288.098	2.4261	[1.58,3.73]	1.38228e-05	0.00083178	0.1	**	1	1		
4	334	401	20	27.8044	0.685758	[0.43,1.09]	0.12453	1	0.1		0.0462959	1		191	2	13.2435	0.136865	[0.03,0.55]	0.000205626	0.00862395	0.1	*	0.000179607	0.0207149	*	107	0	7.41914	0	[0.00,0.00]	1	1	0.1		1	1		699	22	48.4671	0.396413	[0.26,0.62]	5.32696e-06	0.000409589	0.1	**	3.28731e-06	0.000649957	***	4118	312	285.533	2.52262	[1.62,3.92]	8.68684e-06	0.000601137	0.1	**	1	1		
5	70	401	3	5.82728	0.489275	[0.15,1.56]	0.307156	1	0.1		0.185498	1		191	2	2.77559	0.709306	[0.17,2.92]	0.940407	1	0.1		0.486665	1		107	0	1.55491	0	[0.00,0.00]	1	1	0.1		1	1		699	5	10.1578	0.449235	[0.18,1.12]	0.0941772	1	0.1		0.057359	1		4118	65	59.8422	2.22601	[0.89,5.55]	0.13666	1	0.1		1	1		
6	1	401	1	0.0832468	0	[0.00,0.00]	0.166494	1	0.1		1	1		191	0	0.0396512	0	[0.00,0.00]	1	1	0.1		1	1		107	0	0.022213	0	[0.00,0.00]	1	1	0.1		1	1		699	1	0.145111	0	[0.00,0.00]	0.290222	1	0.1		1	1		4118	0	0.854889	0	[0.00,0.00]	1	1	0.1		1	1		
7	52	401	2	4.32884	0.437694	[0.11,1.81]	0.359805	1	0.1		0.237082	1		191	0	2.06186	0	[0.00,0.00]	1	1	0.1		1	1		107	0	1.15508	0	[0.00,0.00]	1	1	0.1		1	1		699	2	7.54578	0.233458	[0.06,0.96]	0.0269429	0.591897	0.1		0.0214835	1		4118	50	44.4542	4.28343	[1.04,17.64]	0.04889	0.966637	0.1		1	1		
8	34	401	0	2.83039	0	[0.00,0.00]	1	1	0.1		1	1		191	9	1.34814	9.10088	[4.19,19.78]	8.03905e-06	0.000585589	0.1	**	1	1		107	0	0.755242	0	[0.00,0.00]	1	1	0.1		1	1		699	9	4.93378	2.13548	[0.99,4.59]	0.123646	1	0.1		1	1		4118	25	29.0662	0.468279	[0.22,1.01]	0.0969167	1	0.1		0.0589345	1		
9	125	401	17	10.4059	1.76591	[1.05,2.98]	0.0635466	1	0.1		1	1		191	1	4.9564	0.191087	[0.03,1.37]	0.074963	1	0.1		0.0630701	1		107	2	2.77662	0.710337	[0.17,2.91]	0.941081	1	0.1		0.485775	1		699	20	18.1389	1.12575	[0.69,1.83]	0.683166	1	0.1		0.961111	1		4118	105	106.861	0.888301	[0.55,1.44]	0.707415	1	0.1		0.175846	1		
10	57	401	0	4.74507	0	[0.00,0.00]	1	1	0.1		1	1		191	0	2.26012	0	[0.00,0.00]	1	1	0.1		1	1		107	0	1.26614	0	[0.00,0.00]	1	1	0.1		1	1		699	0	8.27133	0	[0.00,0.00]	1	1	0.1		1	1		4118	57	48.7287	0	[0.00,0.00]	0.000406648	0.0165532	0.1		1	1		
