name	label
273	other
6455	other
1759	other
1785	AD
26052	other
2060	other
673	other
1837	other
1821	other
1756	other
1605	other
369	other
2923	AD
3836	other
26986	other
22808	other
7534	AD&PD
7531	other
58513	other
1487	other
2317	other
2316	other
2887	other
29979	AD
5663	AD
3709	other
1793	other
2274	other
10014	AD
8470	AD
2885	other
29993	other
6456	PD
10133	AD
22895	other
8844	other
5094	other
3739	other
6548	HTN
3688	AD
6645	other
4842	AD&PD&HTN
10605	other
1975	other
1981	PD
3303	HTN
23163	AD
6616	AD
3265	other
351	AD&PD&HTN
9863	other
8491	other
4734	PD
30011	other
1387	other
2318	other
51517	other
5195	HTN
5193	other
2475	AD&HTN
207	AD&PD&HTN
5170	other
6198	AD
3667	AD&HTN
3798	other
3799	other
3800	AD
3064	other
5898	other
5333	other
3146	AD&HTN
1956	AD&HTN
3320	AD&HTN
1615	other
2058	other
5310	other
1674	other
5573	other
7249	AD&PD&HTN
4291	other
27101	other
29959	other
322	AD
10971	HTN
53616	other
6427	other
2561	other
5048	other
7529	other
7532	AD
7533	PD
7164	other
57403	other
64283	other
6810	other
8773	other
1432	AD&HTN
10043	other
672	AD
3984	HTN
1072	other
5894	AD
1147	other
1613	other
2891	AD
2892	AD
29763	other
4783	other
3276	other
405	other
40	PD
41	other
3028	AD
1859	AD
1742	AD&PD
2066	AD&PD&HTN
1740	PD
1741	other
9228	other
215	other
225	other
5825	other
10484	other
10015	other
55824	other
2512	other
2495	other
3251	other
10342	other
210	HTN
3855	other
10935	AD&PD
2783	other
65263	other
9531	PD
10574	other
10534	other
3936	other
2197	other
10550	HTN
6342	other
5093	other
5295	HTN
7905	other
954	other
5584	other
55746	other
10675	other
2547	other
2280	AD&PD
6640	other
3842	other
387	AD&HTN
824	AD
6804	other
1495	other
3736	HTN
5058	AD
3503	other
2934	AD&HTN
7332	PD
3500	AD
3612	other
2108	other
259217	other
23499	other
260425	other
50618	other
55187	other
25831	other
3547	other
5799	other
5362	other
23037	other
26037	AD
23026	AD
23129	other
1951	other
1173	other
22883	AD
221981	other
23025	other
20	AD
22995	other
57453	other
23228	other
5365	other
23113	PD
9439	other
27148	other
57556	other
10580	HTN
57571	other
57670	other
4645	other
57610	other
23031	other
815	AD
4035	AD
1600	AD
10006	other
6457	other
57787	AD
3178	AD
6294	other
1459	other
1460	PD
1457	other
6449	other
3646	other
2243	HTN
10989	other
23193	other
6747	other
4670	other
7916	HTN
5859	other
5684	other
708	other
529	other
10212	other
7919	AD
6210	other
10189	other
1838	other
1642	other
11117	HTN
1994	AD
23517	other
26019	other
6499	other
3184	other
5976	other
23248	other
11331	other
5493	other
142	AD&PD&HTN
4998	other
4172	other
4999	other
4175	other
348	AD&PD&HTN
4684	AD
1804	other
4685	other
1272	AD&PD
4099	other
4340	other
5621	AD&HTN
1191	AD&PD&HTN
5034	other
3897	other
8404	other
334	AD
3309	AD&HTN
10539	HTN
58512	other
22839	other
1739	PD
4750	other
11127	other
10617	other
26994	PD
10228	PD
10482	other
5869	other
5868	AD
7334	other
7316	other
7431	AD
7251	other
9146	other
55666	other
667	other
9135	AD
164	other
4214	AD
4216	other
10598	other
375	other
29924	other
161	AD
5063	other
7454	other
65125	HTN
43	AD&PD
4130	other
4915	AD&PD&HTN
23095	other
8887	other
10376	other
2036	other
3708	AD
3326	other
576	other
5757	other
28964	other
51631	other
1213	other
1400	other
1937	other
57562	other
9001	other
1891	other
114928	other
55660	other
3837	other
29117	other
4747	AD&PD
5764	other
10980	other
4738	other
3306	other
80347	other
1399	other
1398	other
4217	PD
2810	other
1627	AD
2010	other
2194	other
355	AD&PD&HTN
34	other
1174	other
3643	HTN
5335	other
2017	other
28988	other
50807	other
23390	other
2045	other
2048	other
2051	other
2049	other
9379	other
9369	other
4301	PD
3556	AD
10987	HTN
10458	other
1612	AD
23405	other
4478	other
1499	AD&HTN
10469	other
22800	AD
5315	other
9463	other
1947	other
9693	other
163	other
4297	other
274	AD
6453	AD
23263	other
392	other
57576	other
10188	other
23607	AD
867	other
774	other
19	AD&HTN
3761	other
2903	AD&PD
2904	AD&PD
133957	other
146691	other
11059	other
23327	HTN
29978	other
5211	other
221935	other
23352	other
55252	other
23002	other
1729	other
26036	other
55596	other
11100	other
51755	other
114793	other
10486	other
10564	other
55729	other
11190	other
1009	other
1464	other
3915	AD
23420	other
2324	other
26168	other
4881	HTN
5097	other
23705	AD
3911	other
1284	other
5499	other
161742	other
23368	other
54843	other
22871	other
10494	other
2801	other
81876	other
5861	other
9990	other
6558	AD&HTN
9943	other
6867	other
2905	other
2906	other
324	PD
22938	other
1080	AD&HTN
23513	other
5797	other
11122	other
10076	HTN
5802	other
5792	HTN
5786	other
5789	other
5791	PD
5793	other
5803	other
5787	other
5795	other
5798	other
23647	other
3831	AD&HTN
10755	other
10287	other
5536	other
26354	other
6774	HTN
3315	HTN
3848	other
5305	other
9844	AD
9815	other
9138	HTN
682	AD&HTN
408	other
6261	other
27131	other
23394	AD
47	other
9759	other
5290	AD
29760	other
2773	other
10487	other
