id	name	K
0	1000	1
1	10005	0
2	10006	3
3	10007	2
4	10014	2
5	10015	3
6	10016	2
7	1002	1
8	10021	1
9	100287932	0
10	10043	1
11	10044	1
12	10048	3
13	10049	2
14	10054	2
15	10055	2
16	10056	1
17	10058	3
18	10059	0
19	10061	2
20	100653515	2
21	10067	1
22	10072	2
23	10075	3
24	10076	1
25	10079	1
26	1008	2
27	1009	2
28	10092	3
29	10093	3
30	10094	3
31	10096	3
32	10097	1
33	10100	0
34	10102	0
35	10105	0
36	10109	3
37	10111	3
38	10113	1
39	1012	2
40	10120	3
41	10121	1
42	10125	2
43	10127	3
44	10128	0
45	10129	1
46	1013	2
47	10130	3
48	10131	2
49	10133	1
50	10135	1
51	10142	3
52	10146	3
53	10147	2
54	10152	2
55	10154	1
56	10155	3
57	10156	2
58	10159	0
59	10160	1
60	10163	1
61	10165	0
62	10178	1
63	10180	2
64	10188	3
65	10189	2
66	102	3
67	1020	3
68	10207	1
69	10209	2
70	10211	1
71	10212	2
72	10213	3
73	10228	0
74	10235	1
75	10236	1
76	10238	2
77	10239	2
78	10240	0
79	10243	1
80	10247	1
81	1025	2
82	10250	2
83	10270	2
84	10273	3
85	10276	3
86	10287	2
87	10290	2
88	10294	2
89	10295	1
90	10296	2
91	10297	3
92	103	2
93	10313	0
94	10314	0
95	10319	1
96	10320	2
97	10322	1
98	10328	0
99	10330	2
100	10342	3
101	10343	2
102	10350	0
103	10367	0
104	10369	2
105	10376	1
106	10380	3
107	10381	1
108	10382	2
109	10383	2
110	10391	2
111	103910	1
112	10395	3
113	10396	1
114	10397	1
115	10398	1
116	10399	3
117	104	2
118	10409	0
119	10411	1
120	10419	2
121	10423	0
122	10424	0
123	10426	2
124	10427	1
125	10428	2
126	10432	3
127	10434	3
128	10439	2
129	10440	1
130	10444	1
131	10447	0
132	10449	0
133	10452	0
134	10455	0
135	10456	1
136	10458	3
137	10460	3
138	10466	1
139	10469	0
140	10471	3
141	10476	0
142	10482	3
143	10483	3
144	10484	3
145	10486	3
146	10487	3
147	10490	0
148	10492	3
149	10493	1
150	10494	1
151	10497	1
152	10498	3
153	10499	2
154	10507	1
155	10514	2
156	10521	3
157	10525	1
158	10527	1
159	10528	2
160	10529	2
161	10534	2
162	10536	3
163	10539	3
164	10540	1
165	10541	2
166	10549	1
167	10550	0
168	10554	1
169	10564	1
170	10565	2
171	10570	1
172	10574	1
173	10575	1
174	10576	1
175	10579	3
176	10580	1
177	10587	2
178	10592	3
179	10594	2
180	10598	1
181	10605	2
182	10606	3
183	10611	3
184	10612	1
185	10613	3
186	10615	1
187	10617	3
188	1062	3
189	10620	2
190	10627	1
191	1063	2
192	10632	0
193	10636	2
194	10640	3
195	10645	1
196	10651	0
197	10652	0
198	10657	3
199	10658	1
200	10659	1
201	10664	3
202	10670	1
203	10672	1
204	10675	0
205	10681	2
206	1069	1
207	10690	0
208	10693	2
209	10694	3
210	1072	3
211	10723	1
212	10724	1
213	10726	2
214	10728	1
215	1073	1
216	10730	0
217	10743	2
218	10749	3
219	10752	1
220	10755	1
221	10763	3
222	10765	2
223	10767	1
224	10768	2
225	10769	1
226	10787	3
227	10788	1
228	108	1
229	1080	3
230	10801	1
231	10804	0
232	10808	1
233	10810	3
234	10814	0
235	10815	0
236	10817	3
237	10818	1
238	10827	0
239	10840	1
240	10844	3
241	10845	0
242	10856	2
243	10857	0
244	10869	2
245	10884	0
246	10890	1
247	10891	2
248	109	1
249	10900	3
250	10901	0
251	10908	2
252	10910	1
253	10916	0
254	10919	2
255	10920	1
256	10921	2
257	10923	2
258	10933	2
259	10935	1
260	10938	1
261	10939	0
262	10943	2
263	10945	1
264	10949	3
265	10952	1
266	10953	3
267	10959	1
268	10960	1
269	10961	3
270	10963	2
271	10965	0
272	10970	0
273	10971	3
274	10972	1
275	10973	3
276	10979	1
277	10980	3
278	10982	3
279	10987	3
280	10988	1
281	10989	0
282	10994	3
283	10999	1
284	11001	0
285	11004	2
286	11007	2
287	11011	2
288	11020	3
289	11021	3
290	11022	0
291	11031	1
292	11033	2
293	11034	2
294	11041	2
295	11047	3
296	1105	2
297	11051	3
298	11052	3
299	11059	3
300	11064	1
301	11069	1
302	11075	2
303	11076	2
304	11078	1
305	1108	2
306	11080	2
307	11083	3
308	111	2
309	11100	2
310	11112	0
311	11113	1
312	11117	2
313	11122	1
314	11127	2
315	11130	3
316	11135	1
317	11138	1
318	1114	3
319	11140	3
320	11141	1
321	11146	1
322	11151	1
323	11152	1
324	11160	1
