id	name	K
0	1000	0
1	10005	1
2	10006	1
3	10007	3
4	10014	0
5	10015	1
6	10016	0
7	1002	0
8	10021	0
9	100287932	1
10	10043	1
11	10044	0
12	10048	0
13	10049	1
14	10054	3
15	10055	3
16	10056	3
17	10058	3
18	10059	2
19	10061	3
20	100653515	3
21	10067	3
22	10072	3
23	10075	1
24	10076	0
25	10079	0
26	1008	3
27	1009	3
28	10092	2
29	10093	3
30	10094	3
31	10096	2
32	10097	3
33	10100	2
34	10102	1
35	10105	2
36	10109	2
37	10111	3
38	10113	3
39	1012	3
40	10120	2
41	10121	3
42	10125	3
43	10127	3
44	10128	1
45	10129	3
46	1013	3
47	10130	0
48	10131	3
49	10133	1
50	10135	3
51	10142	3
52	10146	2
53	10147	3
54	10152	3
55	10154	3
56	10155	0
57	10156	3
58	10159	2
59	10160	3
60	10163	3
61	10165	2
62	10178	0
63	10180	3
64	10188	1
65	10189	3
66	102	1
67	1020	1
68	10207	1
69	10209	3
70	10211	2
71	10212	3
72	10213	3
73	10228	2
74	10235	0
75	10236	0
76	10238	3
77	10239	3
78	10240	1
79	10243	0
80	10247	3
81	1025	0
82	10250	0
83	10270	3
84	10273	1
85	10276	1
86	10287	3
87	10290	3
88	10294	3
89	10295	3
90	10296	3
91	10297	2
92	103	3
93	10313	2
94	10314	1
95	10319	3
96	10320	3
97	10322	0
98	10328	1
99	10330	3
100	10342	3
101	10343	3
102	10350	1
103	10367	1
104	10369	3
105	10376	0
106	10380	2
107	10381	0
108	10382	3
109	10383	3
110	10391	3
111	103910	3
112	10395	0
113	10396	3
114	10397	3
115	10398	3
116	10399	0
117	104	3
118	10409	1
119	10411	2
120	10419	0
121	10423	2
122	10424	2
123	10426	3
124	10427	2
125	10428	1
126	10432	3
127	10434	2
128	10439	3
129	10440	3
130	10444	3
131	10447	2
132	10449	1
133	10452	1
134	10455	1
135	10456	1
136	10458	1
137	10460	3
138	10466	0
139	10469	2
140	10471	3
141	10476	2
142	10482	3
143	10483	2
