id	name	K
0	1000	2
1	10005	7
2	10006	1
3	10007	4
4	10014	2
5	10015	1
6	10016	2
7	1002	2
8	10021	2
9	100287932	0
10	10043	2
11	10044	2
12	10048	2
13	10049	5
14	10054	4
15	10055	2
16	10056	7
17	10058	5
18	10059	3
19	10061	7
20	100653515	3
21	10067	7
22	10072	3
23	10075	2
24	10076	2
25	10079	2
26	1008	4
27	1009	4
28	10092	6
29	10093	6
30	10094	6
31	10096	6
32	10097	5
33	10100	3
34	10102	5
35	10105	3
36	10109	6
37	10111	6
38	10113	3
39	1012	4
40	10120	6
41	10121	5
42	10125	4
43	10127	5
44	10128	7
45	10129	4
46	1013	3
47	10130	2
48	10131	4
49	10133	6
50	10135	2
51	10142	6
52	10146	4
53	10147	3
54	10152	4
55	10154	7
56	10155	2
57	10156	4
58	10159	3
59	10160	7
60	10163	2
61	10165	3
62	10178	2
63	10180	7
64	10188	1
65	10189	2
66	102	1
67	1020	1
68	10207	1
69	10209	2
70	10211	2
71	10212	4
72	10213	5
73	10228	3
74	10235	4
75	10236	2
76	10238	3
77	10239	4
78	10240	3
79	10243	2
80	10247	4
81	1025	2
82	10250	2
83	10270	7
84	10273	1
85	10276	1
86	10287	5
87	10290	3
88	10294	7
89	10295	2
90	10296	3
91	10297	6
92	103	6
93	10313	0
94	10314	0
95	10319	2
96	10320	4
97	10322	2
98	10328	7
99	10330	3
100	10342	2
101	10343	4
102	10350	0
103	10367	0
104	10369	4
105	10376	2
106	10380	6
107	10381	2
108	10382	5
109	10383	7
110	10391	3
111	103910	6
112	10395	2
113	10396	4
114	10397	2
115	10398	4
116	10399	2
117	104	3
118	10409	3
119	10411	5
120	10419	7
121	10423	3
122	10424	0
123	10426	3
124	10427	5
125	10428	7
126	10432	7
127	10434	5
128	10439	4
129	10440	4
130	10444	3
131	10447	3
132	10449	0
133	10452	0
134	10455	7
135	10456	2
136	10458	1
137	10460	5
138	10466	4
139	10469	3
140	10471	5
141	10476	3
142	10482	6
143	10483	7
144	10484	5
145	10486	2
146	10487	2
147	10490	0
148	10492	7
149	10493	0
150	10494	2
151	10497	0
152	10498	7
153	10499	7
154	10507	7
155	10514	3
156	10521	7
157	10525	3
158	10527	5
159	10528	6
160	10529	6
161	10534	7
162	10536	5
163	10539	4
164	10540	6
165	10541	2
166	10549	2
167	10550	0
168	10554	2
169	10564	7
170	10565	4
171	10570	2
172	10574	7
173	10575	2
174	10576	7
175	10579	7
176	10580	2
177	10587	3
178	10592	6
179	10594	2
180	10598	2
181	10605	3
182	10606	4
183	10611	5
184	10612	4
185	10613	6
186	10615	6
187	10617	7
188	1062	2
189	10620	3
190	10627	2
191	1063	2
192	10632	7
193	10636	5
194	10640	4
195	10645	2
196	10651	3
197	10652	3
198	10657	7
199	10658	2
200	10659	2
201	10664	2
202	10670	7
203	10672	5
204	10675	0
205	10681	5
206	1069	7
207	10690	0
208	10693	6
209	10694	6
210	1072	1
211	10723	7
212	10724	2
213	10726	5
214	10728	2
215	1073	2
216	10730	3
217	10743	2
218	10749	2
219	10752	4
220	10755	2
221	10763	5
222	10765	3
223	10767	3
