id	name	K
0	1000	1
1	10005	1
2	10006	1
3	10007	2
4	10014	0
5	10015	1
6	10016	1
7	1002	1
8	10021	1
9	100287932	3
10	10043	1
11	10044	1
12	10048	1
13	10049	0
14	10054	2
15	10055	1
16	10056	1
17	10058	2
18	10059	2
19	10061	1
20	100653515	2
21	10067	1
22	10072	1
23	10075	0
24	10076	1
25	10079	1
26	1008	1
27	1009	1
28	10092	0
29	10093	1
30	10094	1
31	10096	0
32	10097	3
33	10100	2
34	10102	0
35	10105	2
36	10109	0
37	10111	1
38	10113	0
39	1012	1
40	10120	0
41	10121	1
42	10125	2
43	10127	1
44	10128	2
45	10129	1
46	1013	2
47	10130	1
48	10131	2
49	10133	1
50	10135	1
51	10142	3
52	10146	1
53	10147	2
54	10152	3
55	10154	3
56	10155	1
57	10156	2
58	10159	2
59	10160	3
60	10163	1
61	10165	2
62	10178	1
63	10180	1
64	10188	0
65	10189	2
66	102	1
67	1020	0
68	10207	0
69	10209	1
70	10211	1
71	10212	2
72	10213	1
73	10228	2
74	10235	1
75	10236	1
76	10238	0
77	10239	0
78	10240	1
79	10243	1
80	10247	1
81	1025	0
82	10250	1
83	10270	2
84	10273	0
85	10276	0
86	10287	0
87	10290	2
88	10294	0
89	10295	1
90	10296	2
91	10297	2
92	103	2
93	10313	2
94	10314	3
95	10319	1
96	10320	3
97	10322	1
98	10328	1
99	10330	2
100	10342	1
101	10343	2
102	10350	3
103	10367	3
104	10369	2
105	10376	1
106	10380	0
107	10381	1
108	10382	0
109	10383	1
110	10391	0
111	103910	1
112	10395	1
113	10396	1
114	10397	1
115	10398	1
116	10399	1
117	104	1
118	10409	1
119	10411	1
120	10419	1
121	10423	2
122	10424	2
123	10426	0
124	10427	0
125	10428	2
126	10432	1
127	10434	2
128	10439	1
129	10440	1
130	10444	1
131	10447	2
132	10449	3
133	10452	1
134	10455	2
135	10456	1
136	10458	0
137	10460	1
138	10466	1
139	10469	2
140	10471	3
141	10476	2
142	10482	3
143	10483	1
144	10484	3
145	10486	1
146	10487	1
147	10490	2
148	10492	1
149	10493	2
150	10494	1
151	10497	1
152	10498	1
153	10499	1
154	10507	3
155	10514	2
156	10521	1
157	10525	3
158	10527	1
159	10528	1
160	10529	3
161	10534	0
162	10536	2
163	10539	1
164	10540	3
165	10541	1
166	10549	1
167	10550	2
168	10554	1
169	10564	2
170	10565	2
171	10570	1
172	10574	1
173	10575	0
174	10576	1
175	10579	2
176	10580	1
177	10587	2
178	10592	1
179	10594	1
180	10598	1
181	10605	2
182	10606	1
183	10611	1
184	10612	1
185	10613	3
186	10615	3
187	10617	2
188	1062	0
189	10620	2
190	10627	1
191	1063	2
192	10632	3
193	10636	0
194	10640	1
195	10645	1
196	10651	2
197	10652	2
198	10657	1
199	10658	2
200	10659	2
201	10664	1
202	10670	3
203	10672	0
204	10675	3
205	10681	0
206	1069	1
207	10690	3
208	10693	0
209	10694	0
210	1072	1
211	10723	1
212	10724	1
213	10726	0
214	10728	1
215	1073	1
216	10730	1
217	10743	1
218	10749	1
219	10752	3
220	10755	1
221	10763	2
