entA	entB	We
273	1759	1
273	1785	1
273	26052	1
273	1859	1
273	824	1
273	50618	1
273	161	1
273	274	1
273	1020	1
273	5530	1
273	5532	1
273	25977	1
273	159989	1
273	5533	1
273	8867	1
273	9901	1
6455	1759	1
6455	1785	1
6455	26052	1
6455	7534	1
6455	6456	1
6455	30011	1
6455	1387	1
6455	10015	1
6455	5295	1
6455	50618	1
6455	6457	1
6455	7431	1
6455	392	1
6455	29760	1
6455	55048	1
6455	5689	1
6455	1783	1
6455	10570	1
6455	10059	1
6455	2130	1
6455	114569	1
6455	23176	1
6455	6812	1
6455	3778	1
6455	57030	1
6455	120892	1
6455	636	1
6455	65059	1
6455	192683	1
6455	102	1
6455	8867	1
6455	9901	1
1759	1785	1
1759	2885	1
1759	29993	1
1759	6456	1
1759	3064	1
1759	1859	1
1759	5621	1
1759	57562	1
1759	50807	1
1759	274	1
1759	6453	1
1759	9644	1
1759	51429	1
1759	5217	1
1759	8440	1
1759	1020	1
1759	6714	1
1759	5530	1
1759	120892	1
1759	8243	1
1759	92609	1
1759	80208	1
1785	2885	1
1785	6456	1
1785	3064	1
1785	3146	1
1785	10484	1
1785	9531	1
1785	10574	1
1785	50618	1
1785	5859	1
1785	7919	1
1785	1398	1
1785	2017	1
1785	6453	1
1785	2801	1
1785	6261	1
1785	6262	1
1785	9644	1
1785	51429	1
1785	2661	1
1785	1639	1
1785	26060	1
1785	1780	1
1785	2580	1
1785	50944	1
1785	22941	1
1785	7415	1
1785	5479	1
1785	6714	1
1785	51386	1
1785	26230	1
1785	11064	1
1785	11253	1
1785	6187	1
1785	5837	1
1785	6386	1
1785	5563	1
1785	553115	1
1785	8481	1
1785	51678	1
26052	27101	1
26052	5536	1
26052	2534	1
26052	5708	1
26052	10273	1
26052	8079	1
26052	80755	1
2060	29979	1
2060	2885	1
2060	10133	1
2060	4734	1
2060	1432	1
2060	50618	1
2060	26994	1
2060	7316	1
2060	9146	1
2060	29924	1
2060	161	1
2060	163	1
2060	6453	1
2060	2534	1
2060	25843	1
2060	4646	1
2060	7321	1
2060	7322	1
2060	7323	1
2060	2332	1
2060	23111	1
2060	5783	1
2060	8650	1
2060	7037	1
2060	84251	1
2060	9101	1
2060	9522	1
2060	85439	1
2060	9185	1
673	369	1
673	7534	1
673	3265	1
673	4734	1
673	207	1
673	10971	1
673	7529	1
673	7532	1
673	7533	1
673	5894	1
673	7332	1
673	4214	1
673	3326	1
673	2810	1
673	23327	1
673	5594	1
673	5515	1
673	5720	1
673	4893	1
673	4192	1
673	572	1
673	5062	1
673	55704	1
673	5605	1
673	3845	1
673	5595	1
673	5604	1
673	5609	1
673	5606	1
673	6794	1
673	92609	1
1837	1821	1
1837	1756	1
1837	6774	1
1837	6195	1
1837	26060	1
1837	23043	1
1837	3845	1
1837	7402	1
1837	23336	1
1821	1605	1
1821	3190	1
1756	1605	1
1756	1838	1
1756	4217	1
1756	9463	1
1756	3880	1
1756	26146	1
1756	5589	1
1756	440073	1
1605	2885	1
1605	3688	1
1605	3265	1
1605	5295	1
1605	11059	1
1605	2534	1
1605	23286	1
1605	4893	1
1605	87	1
1605	6714	1
1605	3845	1
1605	3339	1
1605	7094	1
1605	7414	1
1605	7846	1
1605	7402	1
1605	3916	1
369	7534	1
369	7531	1
369	3265	1
369	207	1
369	3320	1
369	4291	1
369	7532	1
369	5295	1
369	1460	1
369	65125	1
369	3326	1
369	2810	1
369	10469	1
369	22800	1
369	5315	1
369	5536	1
369	5290	1
369	4893	1
369	4192	1
369	6195	1
369	572	1
369	6002	1
369	11083	1
369	1781	1
369	445	1
369	8678	1
369	1969	1
369	5605	1
369	3845	1
369	7248	1
369	11140	1
369	5604	1
369	5606	1
369	6794	1
369	80755	1
369	6949	1
369	399687	1
369	92609	1
369	8533	1
2923	2475	1
2923	29763	1
2923	5798	1
2923	7415	1
2923	6786	1
2923	11064	1
2923	10549	1
2923	307	1
2923	871	1
2923	129285	1
2923	821	1
2923	54014	1
2923	1327	1
2923	8481	1
2923	11259	1
2923	54768	1
2923	811	1
2923	823	1
2923	80279	1
2923	55848	1
2923	57082	1
2923	8479	1
2923	55345	1
2923	63892	1
3836	672	1
3836	3837	1
3836	3556	1
3836	57120	1
3836	8125	1
3836	4000	1
3836	4001	1
3836	10541	1
3836	28992	1
3836	51366	1
26986	5094	1
26986	10605	1
26986	1981	1
26986	5093	1
26986	3190	1
26986	6311	1
26986	10419	1
26986	2935	1
26986	23708	1
26986	58508	1
26986	64324	1
26986	51366	1
26986	27327	1
22808	5894	1
22808	4301	1
22808	6921	1
22808	8216	1
7534	7531	1
7534	8470	1
7534	29993	1
7534	8844	1
7534	207	1
7534	1956	1
7534	5573	1
7534	7249	1
7534	4291	1
7534	53616	1
7534	7532	1
7534	7164	1
7534	3984	1
7534	1072	1
7534	5894	1
7534	2547	1
7534	5058	1
7534	4216	1
7534	65125	1
7534	57562	1
7534	9001	1
7534	4217	1
7534	10987	1
7534	10458	1
7534	867	1
7534	23327	1
7534	10494	1
7534	3315	1
7534	9759	1
7534	29760	1
7534	2037	1
7534	10419	1
7534	11345	1
7534	5127	1
7534	28966	1
7534	572	1
7534	4137	1
7534	5566	1
7534	2033	1
7534	7415	1
7534	7337	1
7534	2023	1
7534	4627	1
7534	81565	1
7534	472	1
7534	5590	1
7534	8350	1
7534	7248	1
7534	8661	1
7534	7001	1
7534	5599	1
7534	10749	1
7534	5581	1
7534	7054	1
7534	171024	1
7534	4215	1
7534	55177	1
7534	4208	1
7534	3097	1
7534	6744	1
7534	23108	1
7534	64926	1
7534	55835	1
7534	11346	1
7534	120892	1
7534	6737	1
7534	7145	1
7534	9493	1
7534	5906	1
7534	8567	1
7534	9610	1
7534	65268	1
7534	6854	1
7534	9101	1
7534	8745	1
7534	988	1
7534	8968	1
7534	8570	1
7534	84952	1
7531	8470	1
7531	3667	1
7531	4291	1
7531	10971	1
7531	7529	1
7531	7532	1
7531	7533	1
7531	5894	1
7531	2495	1
7531	65125	1
7531	9001	1
7531	4217	1
7531	10486	1
7531	2905	1
7531	3315	1
7531	9759	1
7531	9588	1
7531	10142	1
7531	2273	1
7531	801	1
7531	2597	1
7531	3757	1
7531	572	1
7531	55198	1
7531	10432	1
7531	7337	1
7531	81565	1
7531	51199	1
7531	5218	1
7531	4628	1
7531	10749	1
7531	4215	1
7531	4513	1
7531	3097	1
7531	6744	1
7531	23108	1
7531	64926	1
7531	55835	1
7531	5108	1
7531	8573	1
7531	22841	1
7531	9610	1
7531	26059	1
7531	6854	1
7531	84952	1
7531	7064	1
58513	29979	1
58513	50618	1
58513	3309	1
58513	6453	1
58513	1783	1
58513	4646	1
58513	57554	1
58513	10525	1
58513	85439	1
1487	5584	1
1487	1495	1
1487	2903	1
1487	2906	1
1487	9759	1
1487	10142	1
1487	5601	1
1487	4831	1
1487	51412	1
1487	6197	1
1487	10320	1
1487	5932	1
1487	1488	1
1487	3066	1
1487	10432	1
1487	8204	1
1487	5562	1
1487	23236	1
1487	51222	1
1487	6638	1
1487	8926	1
1487	654364	1
1487	54828	1
1487	139341	1
1487	8481	1
1487	23177	1
1487	93986	1
1487	6935	1
1487	9839	1
2317	2316	1
2317	5663	1
2317	2885	1
2317	3688	1
2317	1742	1
2317	5295	1
2317	1398	1
2317	5335	1
2317	55729	1
2317	3315	1
2317	4638	1
2317	70	1
2317	4606	1
2316	5663	1
2316	2885	1
2316	3688	1
2316	1432	1
2316	672	1
2316	5295	1
2316	5058	1
2316	3184	1
2316	3326	1
2316	1398	1
2316	5335	1
2316	324	1
2316	5336	1
2316	2534	1
2316	8829	1
2316	6714	1
2316	5605	1
2316	53918	1
2316	171024	1
2316	4215	1
2316	5604	1
2316	2332	1
2316	4000	1
2316	5567	1
2316	54413	1
2316	27339	1
2316	10979	1
2316	10869	1
2316	5966	1
2316	3310	1
2316	818	1
2316	27145	1
2316	2918	1
2316	6840	1
2316	7204	1
2316	675	1
2316	6416	1
2316	83478	1
2316	55345	1
2887	2885	1
2887	4734	1
2887	207	1
2887	1956	1
2887	5894	1
2887	10006	1
2887	3643	1
2887	23390	1
2887	10458	1
2887	9463	1
2887	2534	1
2887	26058	1
2887	3791	1
2887	6714	1
2887	2043	1
2887	3815	1
2887	25959	1
2887	5604	1
2887	2047	1
2887	3839	1
2887	64599	1
29979	5663	1
29979	351	1
29979	2475	1
29979	2561	1
29979	5034	1
29979	10482	1
29979	7316	1
29979	9146	1
29979	4214	1
29979	55660	1
29979	5764	1
29979	4738	1
29979	355	1
29979	29978	1
29979	9815	1
29979	2335	1
29979	10961	1
29979	6184	1
29979	56893	1
29979	7917	1
29979	1114	1
29979	4832	1
29979	56144	1
29979	60626	1
29979	7314	1
29979	2286	1
29979	23435	1
29979	4192	1
29979	50861	1
29979	23558	1
29979	22954	1
29979	2033	1
29979	7415	1
29979	3099	1
29979	51706	1
29979	5479	1
29979	7337	1
29979	11047	1
29979	2556	1
29979	7335	1
29979	5710	1
29979	4512	1
29979	3912	1
29979	55739	1
29979	54413	1
29979	712	1
29979	2157	1
29979	7311	1
29979	1181	1
29979	2560	1
29979	2562	1
29979	11332	1
29979	1278	1
29979	2912	1
29979	118881	1
29979	23127	1
29979	57326	1
29979	4012	1
29979	29965	1
29979	728116	1
29979	27239	1
29979	23544	1
29979	375567	1
29979	55326	1
29979	114900	1
29979	51138	1
29979	9798	1
29979	2554	1
29979	2555	1
29979	6233	1
29979	813	1
29979	6447	1
29979	8933	1
29979	7857	1
29979	6678	1
29979	9861	1
29979	51144	1
29979	83692	1
29979	642968	1
29979	84502	1
5663	3265	1
5663	351	1
5663	3146	1
5663	1072	1
5663	2108	1
5663	50618	1
5663	348	1
5663	10376	1
5663	5689	1
5663	2932	1
5663	2597	1
5663	5601	1
5663	6767	1
5663	4893	1
5663	23136	1
5663	2670	1
5663	87	1
5663	27429	1
5663	1020	1
5663	6857	1
5663	3845	1
5663	2596	1
5663	7001	1
5663	610	1
5663	2639	1
5663	11140	1
5663	5864	1
5663	6812	1
5663	2029	1
5663	6009	1
5663	4846	1
5663	55177	1
5663	5019	1
5663	51295	1
5663	25959	1
5663	7372	1
5663	10730	1
5663	23770	1
5663	4129	1
5663	1500	1
5663	114134	1
5663	5686	1
5663	321	1
5663	11160	1
5663	2319	1
5663	10079	1
5663	374291	1
5663	8502	1
5663	23385	1
5663	7416	1
5663	6515	1
5663	8506	1
5663	80303	1
5663	80333	1
5663	6323	1
5663	7087	1
3709	1981	1
3709	55763	1
3709	7223	1
1793	2885	1
1793	1398	1
1793	9844	1
1793	55048	1
1793	63916	1
1793	2534	1
1793	8440	1
1793	5566	1
1793	160622	1
1793	6714	1
2274	3688	1
2274	3799	1
2274	5573	1
2274	672	1
2274	10006	1
2274	11331	1
2274	1499	1
2274	274	1
2274	6774	1
2274	5336	1
2274	5594	1
2274	6421	1
2274	3728	1
2274	3983	1
2274	10320	1
2274	56243	1
2274	3055	1
2274	1445	1
2274	25959	1
2274	11221	1
2274	3054	1
2274	3417	1
2274	8301	1
2274	154796	1
2274	9229	1
2274	5966	1
2274	80212	1
2274	23066	1
2274	84656	1
2274	2786	1
2274	823	1
2274	57459	1
2274	55970	1
10014	10971	1
10014	1937	1
10014	2810	1
10014	5586	1
10014	121504	1
10014	8204	1
10014	5580	1
10014	8294	1
10014	8359	1
10014	8362	1
10014	8368	1
10014	8370	1
10014	5562	1
10014	4208	1
10014	23387	1
10014	5585	1
10014	9612	1
8470	1956	1
8470	57556	1
8470	10006	1
8470	22839	1
8470	7454	1
8470	867	1
8470	2801	1
8470	55048	1
8470	6133	1
8470	8440	1
8470	87	1
8470	5062	1
8470	208	1
8470	27	1
8470	8976	1
8470	10295	1
8470	81	1
8470	8867	1
8470	8754	1
8470	8667	1
8470	8936	1
2885	3265	1
2885	8491	1
2885	30011	1
2885	2318	1
2885	51517	1
2885	3667	1
2885	1956	1
2885	1615	1
2885	7249	1
2885	1742	1
2885	2066	1
2885	9228	1
2885	10015	1
2885	2512	1
2885	2495	1
2885	10342	1
2885	5295	1
2885	6640	1
2885	3842	1
2885	5799	1
2885	1951	1
2885	10006	1
2885	7916	1
2885	5621	1
2885	1191	1
2885	3309	1
2885	58512	1
2885	22839	1
2885	11127	1
2885	10617	1
2885	7316	1
2885	7431	1
2885	4130	1
2885	28964	1
2885	1627	1
2885	50807	1
2885	274	1
2885	10188	1
2885	23607	1
2885	867	1
2885	5786	1
2885	6261	1
2885	29760	1
2885	1856	1
2885	2335	1
2885	5336	1
2885	6711	1
2885	56252	1
2885	998	1
2885	4638	1
2885	6655	1
2885	55048	1
2885	6654	1
2885	5747	1
2885	5781	1
2885	3190	1
