Gene.ID	Gene.Name	AD	BD	AUT	SCH	ASD	Epi	ID	HTN	HD	PD	FTD	MS
273	AMPH	.	.	.	.	.	.	.	.	.	.	1	.
6455	SH3GL1	.	.	.	.	.	.	.	.	.	.	1	.
1759	DNM1	.	.	.	1	.	1	.	.	.	.	.	.
1785	DNM2	1	.	.	.	.	.	.	.	.	.	1	.
1821	DRP2	.	.	2	.	2	.	.	.	.	.	.	.
1756	DMD	.	2	.	1	.	.	2	.	.	.	.	.
2923	PDIA3	1	.	.	.	.	.	.	.	.	.	.	.
58513	EPS15L1	.	.	.	.	.	.	.	.	.	.	.	2
8470	SORBS2	1	.	.	.	.	.	.	.	.	.	.	.
2885	GRB2	.	.	.	1	.	.	.	.	.	.	.	.
6456	SH3GL2	.	.	.	1	.	.	.	.	.	1	.	1
10133	OPTN	1	.	.	.	.	.	.	.	.	.	.	.
22895	RPH3A	.	.	.	.	.	.	.	.	2	.	.	.
6548	SLC9A1	.	.	.	.	.	.	.	2	.	.	.	.
3688	ITGB1	1	1	.	.	.	.	.	.	.	.	.	.
4842	NOS1	1	2	.	1	.	1	.	2	.	1	.	2
1981	EIF4G1	.	.	.	.	.	.	.	.	.	2	.	.
3303	HSPA1A	.	.	.	1	.	.	.	1	.	.	1	1
23163	GGA3	1	.	.	.	.	.	.	.	.	.	.	.
6616	SNAP25	1	.	1	1	1	1	2	.	1	.	1	.
351	APP	1	.	1	.	1	1	.	1	.	1	1	1
9863	MAGI2	.	1	.	1	.	1	.	.	.	.	.	.
5195	PEX14	.	.	.	.	.	.	.	1	.	.	.	.
2475	MTOR	1	.	1	1	1	1	.	1	1	.	.	.
3798	KIF5A	.	.	.	.	.	1	.	.	.	.	.	2
3799	KIF5B	.	1	.	.	.	.	.	.	.	.	.	.
3800	KIF5C	2	1	1	1	1	.	1	.	.	.	.	.
3146	HMGB1	1	.	1	.	1	.	1	1	.	.	.	1
3320	HSP90AA1	1	.	.	1	.	.	2	1	.	.	1	.
5310	PKD1	.	.	2	.	2	.	.	.	.	.	.	.
1674	DES	.	.	.	1	.	.	.	.	.	.	.	.
7249	TSC2	1	.	1	.	1	1	.	1	.	1	.	.
322	APBB1	1	.	.	.	.	.	.	.	.	.	.	.
53616	ADAM22	.	.	.	.	.	1	.	.	.	.	.	.
7534	YWHAZ	1	.	1	1	1	.	.	.	.	1	.	.
2561	GABRB2	.	1	.	1	.	1	.	.	.	.	.	.
7531	YWHAE	.	1	.	1	.	.	.	.	.	.	.	.
5048	PAFAH1B1	.	.	.	1	.	.	.	.	.	.	.	.
7529	YWHAB	.	.	.	1	.	.	.	.	.	.	.	.
7532	YWHAG	1	.	.	1	.	1	.	.	.	.	.	1
10971	YWHAQ	.	.	.	.	.	.	.	1	.	.	.	.
7533	YWHAH	.	1	.	1	.	1	.	.	.	1	.	.
6810	STX4	.	.	.	.	.	1	.	.	.	.	.	.
3984	LIMK1	.	.	.	.	.	.	.	2	.	.	.	.
1072	CFL1	.	.	.	1	.	.	.	.	.	.	.	.
5894	RAF1	1	.	.	.	.	.	.	.	.	.	.	.
2891	GRIA2	1	.	1	1	1	1	.	.	.	.	.	1
2892	GRIA3	1	.	.	1	.	1	2	.	.	.	.	1
3028	HSD17B10	1	.	.	1	.	.	2	.	.	.	.	1
1742	DLG4	1	.	.	1	.	.	.	.	.	1	.	.
2066	ERBB4	1	1	.	1	.	.	.	1	.	1	.	.
1740	DLG2	.	.	.	.	.	1	.	.	.	1	.	.
1741	DLG3	.	.	.	1	.	.	1	.	.	.	.	.
9228	DLGAP2	.	.	.	1	.	.	.	.	.	.	.	.
55824	PAG1	.	.	.	1	.	.	.	.	.	.	.	.
3251	HPRT1	.	.	.	.	.	.	.	.	.	.	2	.
210	ALAD	.	.	.	.	.	.	.	2	.	.	.	.
10935	PRDX3	1	.	.	.	.	.	.	.	.	1	.	.
2783	GNB2	.	.	.	1	.	.	.	.	.	.	.	.
2495	FTH1	.	.	1	.	1	.	.	.	.	.	.	.
10550	ARL6IP5	.	.	.	.	.	.	.	2	.	.	.	.
10675	CSPG5	.	.	.	2	.	.	.	.	.	.	.	.
2280	FKBP1A	1	.	.	.	.	.	.	.	.	1	.	.
3842	TNPO1	.	.	.	.	.	.	.	.	.	.	1	.
387	RHOA	1	.	.	.	.	1	.	1	.	.	.	.
824	CAPN2	1	.	.	.	.	.	.	.	.	.	.	.
6804	STX1A	.	2	1	1	1	1	.	.	.	.	1	.
3736	KCNA1	.	.	.	.	.	2	.	2	.	.	.	.
5058	PAK1	1	.	.	1	.	.	.	.	.	.	.	.
2934	GSN	1	1	.	1	.	1	.	1	.	.	.	.
3500	IGHG1	2	.	.	.	.	.	.	.	.	.	.	.
3612	IMPA1	.	1	.	.	.	.	.	.	.	.	.	.
259217	HSPA12A	.	.	.	2	.	.	.	.	.	.	.	.
23499	MACF1	.	.	.	1	.	.	.	.	.	.	.	.
50618	ITSN2	.	.	.	1	.	.	.	.	.	.	.	.
5799	PTPRN2	.	1	.	1	.	.	.	.	.	.	.	.
5362	PLXNA2	.	.	.	2	.	.	.	.	.	.	.	.
